News,Date,market_compound,sentiment_encoded,Open,High,Low,Close,Adj Close,Volume
The reputation of big tech faltered as scandals emerged over the past months with regularity,2019-01-03,-0.4939,-1,35.994998931884766,36.43000030517578,35.5,35.54750061035156,34.118873596191406,365248800
Investors seek safe haven as analysts warn of more volatility on global slowdown fear,2019-01-04,-0.1779,-1,36.13249969482422,37.13750076293945,35.95000076293945,37.06499862670898,35.57538604736328,234428400
Investors seek safe haven as analysts warn of more volatility on global slowdown fear,2019-01-05,-0.1779,-1,37.17499923706055,37.20750045776367,36.47499847412109,36.98249816894531,35.4962043762207,219111200
Investors seek safe haven as analysts warn of more volatility on global slowdown fear,2019-01-06,-0.1779,-1,37.17499923706055,37.20750045776367,36.47499847412109,36.98249816894531,35.4962043762207,219111200
Company flags fewer people upgrading iPhones in rare warning that shocks Wall Street,2019-01-07,-0.6124,-1,37.17499923706055,37.20750045776367,36.47499847412109,36.98249816894531,35.4962043762207,219111200
Apple chief executive explains cut to Q1 guidance,2019-01-08,-0.2732,-1,37.38999938964844,37.95500183105469,37.130001068115234,37.6875,36.17287063598633,164101200
Companies dependent on iPhone sales lead technology sector lower across Europe and Asia,2019-01-09,-0.296,-1,37.8224983215332,38.63249969482422,37.407501220703125,38.32749938964844,36.78715133666992,180396400
The iPhone maker saw its shares slide 9% after a revenue warning,2019-01-10,-0.0516,0,38.125,38.49250030517578,37.71500015258789,38.45000076293945,36.90472412109375,143122800
Suppliers and luxury groups hit by fears of slowing Chinese economy,2019-01-11,-0.4215,-1,38.220001220703125,38.42499923706055,37.87749862670898,38.0724983215332,36.54239654541016,108092800
Suppliers and luxury groups hit by fears of slowing Chinese economy,2019-01-12,-0.4215,-1,37.712501525878906,37.817501068115234,37.30500030517578,37.5,35.99290466308594,129756800
Suppliers and luxury groups hit by fears of slowing Chinese economy,2019-01-13,-0.4215,-1,37.712501525878906,37.817501068115234,37.30500030517578,37.5,35.99290466308594,129756800
The iPhone maker lowered its revenue forecast amid weakness in China,2019-01-14,-0.5106,-1,37.712501525878906,37.817501068115234,37.30500030517578,37.5,35.99290466308594,129756800
The iPhone maker lowered its revenue forecast amid weakness in China,2019-01-15,-0.5106,-1,37.567501068115234,38.34749984741211,37.51250076293945,38.26750183105469,36.72956848144531,114843600
The iPhone maker lowered its revenue forecast amid weakness in China,2019-01-16,-0.5106,-1,38.27000045776367,38.970001220703125,38.25,38.73500061035156,37.17827987670898,122278800
The iPhone maker lowered its revenue forecast amid weakness in China,2019-01-17,-0.5106,-1,38.54999923706055,39.415000915527344,38.31499862670898,38.96500015258789,37.39903259277344,119284800
The FT’s Tim Bradshaw on how price differentiation may have been pushed too far,2019-01-18,0.0,0,39.375,39.470001220703125,38.994998931884766,39.20500183105469,37.62938690185547,135004000
The FT’s Tim Bradshaw on how price differentiation may have been pushed too far,2019-01-19,0.0,0,39.102500915527344,39.182498931884766,38.15499877929688,38.32500076293945,36.78475570678711,121576000
Investors say consumer demand will hold up despite trade war and slowing economy,2019-01-20,0.3911,1,39.102500915527344,39.182498931884766,38.15499877929688,38.32500076293945,36.78475570678711,121576000
Investors say consumer demand will hold up despite trade war and slowing economy,2019-01-21,0.3911,1,39.102500915527344,39.182498931884766,38.15499877929688,38.32500076293945,36.78475570678711,121576000
