                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4499,                 4.8853,                 4.3704,                0.00017,                0.04673,                  9e-05,                  2e-05,                 2.8182,                 4.8283,                 4.1584,                0.00012,                0.00012,                0.00012
                      2,                  3.486,                 4.6712,                 4.2888,                0.00017,                0.04673,                  9e-05,                  3e-05,                 2.8186,                 4.8298,                 4.1573,             0.00025743,             0.00025743,             0.00025743
                      3,                  3.445,                 4.4928,                 4.1809,                0.00017,                0.04673,                  9e-05,                  2e-05,                 2.8197,                 4.8218,                 4.1569,             0.00039208,             0.00039208,             0.00039208
                      4,                  3.452,                  4.147,                 4.1075,                 0.0002,                0.05607,                0.00011,                  3e-05,                   2.82,                 4.8065,                 4.1576,             0.00052396,             0.00052396,             0.00052396
                      5,                 3.1861,                 3.8786,                  3.989,                0.00019,                0.05607,                0.00011,                  3e-05,                 2.8214,                 4.7387,                  4.162,             0.00065307,             0.00065307,             0.00065307
                      6,                 3.2334,                 3.9146,                 3.8582,                0.00019,                0.05607,                0.00011,                  3e-05,                 2.8181,                 4.6107,                 4.1673,             0.00077941,             0.00077941,             0.00077941
                      7,                 2.8778,                  3.517,                 3.6259,                  9e-05,                0.02804,                  5e-05,                  2e-05,                 2.8121,                 4.5026,                  4.175,             0.00090298,             0.00090298,             0.00090298
                      8,                 2.7954,                 3.2419,                 3.4003,                 0.0001,                0.02804,                  5e-05,                  2e-05,                 2.8105,                 4.4073,                 4.1763,              0.0010238,              0.0010238,              0.0010238
                      9,                 2.8228,                 3.1529,                 3.3419,                  7e-05,                0.00935,                  3e-05,                  1e-05,                 2.7901,                 4.4282,                 4.1373,              0.0011418,              0.0011418,              0.0011418
                     10,                 2.8298,                 3.0623,                 3.2428,                0.00213,                0.24299,                0.00133,                0.00027,                 2.7662,                 4.2007,                 3.9183,               0.001257,               0.001257,               0.001257
                     11,                 2.7325,                 2.9326,                 3.1167,                 0.0036,                0.96262,                0.00719,                0.00212,                 2.5948,                 4.1254,                 3.4791,              0.0013695,              0.0013695,              0.0013695
                     12,                 2.5798,                 2.7653,                 3.0061,                0.00429,                0.99065,                0.00848,                0.00273,                 2.5268,                 4.0683,                 3.1487,              0.0014792,              0.0014792,              0.0014792
                     13,                 2.6801,                 2.7021,                 3.1077,                0.00371,                      1,                0.08042,                0.02495,                 2.4364,                 3.7418,                 3.0593,              0.0015862,              0.0015862,              0.0015862
                     14,                 2.5629,                 2.8356,                 3.0171,                 0.2478,                0.20939,                0.17453,                0.05365,                  2.355,                   3.42,                 2.9745,              0.0016903,              0.0016903,              0.0016903
                     15,                 2.6938,                 2.6782,                 3.0415,                0.37929,                0.57009,                0.33582,                0.10095,                 2.3174,                 2.9503,                 2.9347,              0.0017228,              0.0017228,              0.0017228
                     16,                 2.5509,                 2.4692,                  2.901,                0.22903,                0.14953,                 0.1305,                0.04197,                 2.2548,                 3.5652,                 3.0219,              0.0017228,              0.0017228,              0.0017228
                     17,                 2.5289,                  2.542,                 2.8462,                0.57459,                0.44183,                0.50944,                0.15394,                 2.2163,                 2.8516,                 2.9012,               0.001703,               0.001703,               0.001703
                     18,                 2.5984,                 2.6081,                 2.9457,                0.53474,                0.42056,                0.40716,                0.11828,                 2.2562,                 2.9143,                 2.7752,              0.0016832,              0.0016832,              0.0016832
                     19,                 2.6086,                 2.5666,                 2.9689,                0.00993,                0.00935,                0.01239,                0.00397,                 2.2838,                 4.1502,                 3.0431,              0.0016634,              0.0016634,              0.0016634
                     20,                 2.5458,                 2.4091,                 2.8926,                0.16782,                0.19626,                0.09576,                0.03324,                 2.1813,                 3.3697,                 2.8822,              0.0016436,              0.0016436,              0.0016436
                     21,                 2.4777,                 2.3907,                 2.8877,                0.69947,                0.47857,                0.58776,                0.19844,                 2.1954,                 2.3261,                 2.7918,              0.0016238,              0.0016238,              0.0016238
                     22,                  2.322,                 2.4551,                 2.8304,                0.58766,                 0.5514,                0.57764,                0.22059,                 2.0627,                 2.8343,                 2.7274,               0.001604,               0.001604,               0.001604
                     23,                 2.4066,                 2.2706,                 2.7786,                0.43257,                0.54147,                0.48441,                0.17128,                 2.0461,                 2.6972,                  2.697,              0.0015842,              0.0015842,              0.0015842
                     24,                 2.3508,                 2.1297,                 2.7841,                0.33753,                0.70093,                0.51177,                0.19967,                 1.9624,                 2.5404,                 2.6493,              0.0015644,              0.0015644,              0.0015644
                     25,                  2.403,                 1.9533,                 2.7185,                0.59172,                 0.4486,                0.56381,                0.23845,                  1.973,                 2.1763,                 2.6675,              0.0015446,              0.0015446,              0.0015446
