city,area,rooms,bathroom,parking_spaces,floor,animal_allowance,furniture,association_tax,rent_amount,property_tax,fire_insurance,total_rent
Bangalore,Brookefield,2,2,1,8,not acept,not furnished,2475,4800,99,63,7437
Delhi,Rohini sector 16,3,2,2,10,acept,furnished,4026,14850,858,192,19926
Bangalore,Haralur Road,3,2,0,-,acept,not furnished,0,7500,450,114,8064
Mumbai,Mulund East,2,2,1,-,acept,furnished,1719,4500,321,66,6606
Bangalore,Sarjapur  Road,2,2,1,1,not acept,not furnished,840,3000,414,39,4293
Bangalore,Subramanyapura,2,2,0,1,acept,furnished,2550,18000,750,231,21531
Delhi,Mansarover Garden,2,1,0,7,not acept,furnished,4200,15000,732,195,20127
Bangalore,Begur Road,3,4,3,2,not acept,not furnished,7500,15450,3750,198,26898
Chennai,Perungalathur,3,3,2,4,not acept,not furnished,1200,5550,0,72,6822
Kolkata,Uttarpara Kotrung,3,3,0,-,acept,not furnished,0,10500,426,174,11100
Bangalore,Uttarahalli,2,2,1,2,acept,not furnished,1200,4500,108,60,5868
Bangalore,Uttarahalli,2,1,1,-,acept,not furnished,1452,4800,405,63,6720
Bangalore,Kasavanhalli,2,1,1,-,acept,not furnished,0,4500,489,69,5058
Chennai,Choolaimedu,4,5,2,-,acept,not furnished,0,18000,0,273,18273
Bangalore,Mathikere,4,6,4,1,acept,not furnished,15600,19200,8376,246,43410
Mumbai,Thane West,1,1,1,2,acept,furnished,900,4500,69,66,5535
Bangalore,Frazer Town,4,6,5,13,acept,not furnished,21600,18000,3501,231,43320
Mumbai,Thane East,5,4,4,4,not acept,not furnished,6000,12000,3750,177,21927
Delhi,Patel Nagar,2,2,1,5,not acept,not furnished,4800,11850,1500,153,18303
Delhi,Sector 22 Dwarka,2,2,2,2,acept,not furnished,2100,3600,24,48,5772
Mumbai,Chembur,2,2,1,2,acept,not furnished,1200,6600,276,99,8175
Mumbai,Kalyan West,1,1,0,4,acept,not furnished,600,2100,114,33,2847
Kolkata,Dakshineswar,2,1,1,2,acept,not furnished,600,3150,81,42,3873
Mumbai,Titwala East,1,1,0,1,acept,not furnished,660,2700,270,36,3666
Bangalore,Maithri Layout,4,6,10,-,acept,not furnished,9000,42000,6000,633,57630
Delhi,Khanpur,2,1,1,9,acept,not furnished,1500,8019,0,105,9624
Bangalore,Kada Agrahara,4,6,4,13,acept,not furnished,9099,29940,7500,381,46920
Chennai,Guduvancheri,1,1,1,2,not acept,not furnished,2154,4800,39,63,7056
Delhi,Karol Bagh,1,1,1,6,acept,furnished,0,8400,0,111,8511
Delhi,Greater kailash 1,1,1,0,-,acept,not furnished,0,5550,0,72,5622
Kolkata,New Town,2,1,1,11,acept,not furnished,2691,3900,375,54,7020
Bangalore,Singasandra,3,2,1,1,not acept,furnished,0,19500,0,249,19749
Delhi,Dwarka Mor,1,2,0,-,not acept,not furnished,0,3600,0,57,3657
Bangalore,Thanisandra,4,2,2,-,acept,furnished,0,19500,1500,294,21294
Kolkata,Dum Dum,2,3,1,4,acept,not furnished,1800,11280,840,153,14073
Chennai,Kotturpuram,1,1,0,4,acept,not furnished,1290,1950,210,27,3477
Delhi,Mehrauli,3,1,0,-,acept,not furnished,0,4800,120,75,4995
Bangalore,Yeshwanthpur,4,4,6,8,acept,not furnished,11700,24000,5250,306,41250
Mumbai,Vasai east,3,2,1,7,acept,not furnished,2964,9600,726,141,13431
Mumbai,Malad West,1,1,0,1,acept,furnished,690,2550,54,39,3333
Bangalore,Kothannur,1,1,0,2,acept,not furnished,0,8100,15,105,8220
Delhi,Vasant Kunj,3,2,2,2,acept,furnished,2550,7500,750,99,10899
Chennai,Thalambur,4,4,4,15,acept,not furnished,11400,33000,3240,420,48060
Bangalore,Uttarahalli,2,1,1,6,acept,not furnished,2400,3825,0,51,6276
Mumbai,Thane West,1,1,1,6,acept,furnished,1170,8970,0,132,10272
Mumbai,Khopoli,4,3,2,4,acept,not furnished,6000,9600,975,141,16716
Bangalore,Dodsworth Layout,3,1,3,17,acept,furnished,2490,20100,1200,255,24045
Bangalore,Vidyaranyapura,5,3,6,-,acept,not furnished,0,31500,5001,474,36990
Bangalore,Hennur Bande,5,6,3,-,acept,not furnished,0,26550,2874,402,29826
Bangalore,Nallurhalli,8,4,6,-,acept,not furnished,0,75000,6600,1128,82740
