City,Price range per sqft,Avg price per sqft,Price rise
Ahmedabad,"611 - 1,71,969 / sqft","35,178.07 / sqft",84.3%
Bangalore,"656 - 1,40,148 / sqft","76,956.86 / sqft",90.1%
Chennai,"667 - 55,859 / sqft","32,297.07 / sqft",64.8%
Delhi,"741 - 1,89,032 / sqft","58,231.75 / sqft",64.5%
Ghaziabad,"634 - 84,986 / sqft","29,583.89 / sqft",43.4%
Gurgaon,"640 - 94,231 / sqft","51,735.68 / sqft",25.1%
Hyderabad,"641 - 75,002 / sqft","51,417 / sqft",49.8%
Indore,"619 - 40,741 / sqft","17,342.31 / sqft",91.8%
Kolkata,"600 - 83,333 / sqft","61,519.98 / sqft",4.7%
Mumbai,"647 - 1,82,358 / sqft","1,43,232.42 / sqft",95.5%
Noida,"417 - 36,844 / sqft","25,919.3 / sqft",33.6%
Pune,"712 - 56,102 / sqft","35,845.19 / sqft",-16.3%
Jalandhar,"706 - 6,303 / sqft","4,3.5 / sqft",-37.9%
Lucknow,"973 - 18,511 / sqft","10,250.06 / sqft",18.9%
Chandigarh,"1,197 - 33,899 / sqft","14,100.57 / sqft",-18.8%
Nagpur,"662 - 24,222 / sqft","18,508.95 / sqft",-4.7%
Coimbatore,"811 - 12,797 / sqft","7,862.31 / sqft",25.1%
Goa,"2,807 - 20,833 / sqft","16,420.76 / sqft",-24.2%
Jaipur,"735 - 16,393 / sqft","9,782.81 / sqft",46.7%
Trivandrum,"3,207 - 8,393 / sqft","7,187.54 / sqft",32.9%
Kochi,"2,604 - 62,500 / sqft","29,478.65 / sqft",12.2%
Bhubaneswar,"609 - 52,000 / sqft","26,739.65 / sqft",51.7%
Puri,"2,462 - 5,935 / sqft","4,842.69 / sqft",102.4%
Bhopal,"1,042 - 10,942 / sqft","8,598.81 / sqft",22.1%
Nashik,"857 - 20,329 / sqft","9,71.2 / sqft",4.9%
Mysore,"3,721 - 6,719 / sqft","5,938.87 / sqft",9.1%
Dehradun,"1,115 - 11,538 / sqft","8,184.62 / sqft",25.1%
Vadodara,"733 - 35,417 / sqft","17,861.73 / sqft",32.9%
Mangalore,"914 - 10,753 / sqft","7,914.45 / sqft",43.7%
Surat,"782 - 23,660 / sqft","15,69.74 / sqft",-2.1%
Visakhapatnam,"803 - 30,000 / sqft","16,51.09 / sqft",33.7%
Anand,"1,333 - 5,059 / sqft","4,626.25 / sqft",-43.2%
Madurai,"1,141 - 10,667 / sqft","6,964.09 / sqft",-15.3%
Patna,"889 - 15,000 / sqft","11,437.54 / sqft",-26.7%
Trichy,"1,840 - 10,000 / sqft","6,960.81 / sqft",1.7%
Agra,"722 - 12,500 / sqft","8,488.32 / sqft",329.8%
Pondicherry,"2,111 - 13,579 / sqft","10,785.58 / sqft",60.9%
Shimla,"3,000 - 75,000 / sqft","19,526.41 / sqft",-15.9%
Kozhikode,"3,493 - 7,000 / sqft","6,135.87 / sqft",-23.1%
Kanpur,"2,333 - 10,227 / sqft","7,19.54 / sqft",100.7%
Meerut,"1,533 - 10,001 / sqft","7,111.62 / sqft",48.7%
Ranchi,"1,148 - 6,143 / sqft","5,121.97 / sqft",20.3%
Vellore,-,-,78.8%
Allahabad,"667 - 23,638 / sqft","10,830.87 / sqft",-27.5%
Gwalior,"1,116 - 11,000 / sqft","5,636.89 / sqft",-29.1%
Haridwar,"1,285 - 5,254 / sqft","4,214.85 / sqft",6.9%
Kannur,"5,000 / sqft","5,000 / sqft",-
Varanasi,"1,918 - 9,969 / sqft","6,772.78 / sqft",65.9%
Vijayawada,"2,000 - 9,292 / sqft","6,892.41 / sqft",11%
Aurangabad,"2,073 - 9,166 / sqft","7,781.11 / sqft",-11.2%
Guwahati,"600 - 7,500 / sqft","6,477.46 / sqft",37%
Jabalpur,"1,667 - 6,000 / sqft","4,888.89 / sqft",-13.4%
Jodhpur,"2,162 - 8,666 / sqft","5,129.14 / sqft",8.9%
Kolhapur,"1,562 - 10,417 / sqft","8,252.51 / sqft",6.3%
Nainital,"3,415 - 10,825 / sqft","9,568.61 / sqft",-32.7%
Amritsar,"2,242 - 26,928 / sqft","4,980.5 / sqft",6.6%
Jamshedpur,"1,266 - 6,087 / sqft","5,776.54 / sqft",4.3%
Kottayam,"3,483 - 3,731 / sqft","3,606.97 / sqft",-50.4%
Ambala,-,-,19.1%
Mathura,"611 - 9,198 / sqft","6,481.33 / sqft",-10%
Alwar,"2,000 - 6,154 / sqft","3,272.99 / sqft",-55.9%
Jhansi,"3,059 / sqft","3,58.82 / sqft",-6.8%
Faridabad,"648 - 14,444 / sqft","8,681.65 / sqft",-10.3%
Anantapuram,"3,226 - 4,374 / sqft","4,374.45 / sqft",-
Sonepat,"1,529 - 4,387 / sqft","4,14.46 / sqft",-84.5%
Karnal,"1,626 - 3,889 / sqft","2,809.59 / sqft",-38.8%
Siliguri,"1,974 - 6,500 / sqft","5,600.59 / sqft",27.5%
Ooty,-,-,-
Aligarh,"2,013 - 3,916 / sqft","3,509.78 / sqft",41.9%
Thiruvannamalai,-,-,-
