City,Price range per sqft,Avg price per sqft,Price rise
Ahmedabad,"600 - 26,667 / sqft","14,377.82 / sqft",-
Bangalore,"600 - 33,333 / sqft","19,894.51 / sqft",-
Chennai,"645 - 26,660 / sqft","17,525.18 / sqft",-
Delhi,"615 - 1,96,524 / sqft","1,48,273.65 / sqft",-
Ghaziabad,"994 - 12,500 / sqft","10,722.12 / sqft",-
Gurgaon,"667 - 1,00,000 / sqft","56,346.58 / sqft",-
Hyderabad,"618 - 1,28,000 / sqft","52,39.91 / sqft",-
Indore,"800 - 92,500 / sqft","47,998.59 / sqft",-
Kolkata,"1,250 - 1,50,000 / sqft","48,420.57 / sqft",-
Mumbai,"1,249 - 1,80,645 / sqft","84,287.29 / sqft",-
Noida,"615 - 33,750 / sqft","14,673.94 / sqft",-
Pune,"1,250 - 21,875 / sqft","14,400.24 / sqft",-
Jalandhar,"650 - 6,250 / sqft","4,3.46 / sqft",-
Lucknow,"741 - 22,703 / sqft","7,552.18 / sqft",-
Chandigarh,"1,465 - 36,846 / sqft","18,783.4 / sqft",-
Nagpur,"2,308 - 14,286 / sqft","8,886.67 / sqft",-
Coimbatore,"1,841 - 9,667 / sqft","6,307.15 / sqft",-
Goa,"767 - 18,581 / sqft","6,739.99 / sqft",-
Jaipur,"1,200 - 57,143 / sqft","8,185.57 / sqft",-
Trivandrum,-,-,-
Kochi,"3,500 - 9,090 / sqft","6,650.92 / sqft",-
Bhubaneswar,"1,450 - 9,090 / sqft","8,605.43 / sqft",-
Puri,-,-,-
Bhopal,"800 - 8,888 / sqft","4,31.56 / sqft",-
Nashik,"3,000 - 8,197 / sqft","5,20.76 / sqft",-
Mysore,"3,250 - 66,667 / sqft","15,142.07 / sqft",-
Dehradun,"1,667 - 8,333 / sqft","5,634.04 / sqft",-
Vadodara,"900 - 6,923 / sqft","5,546.86 / sqft",-
Mangalore,"2,294 - 4,884 / sqft","3,588.65 / sqft",-
Surat,"800 - 16,296 / sqft","7,100.98 / sqft",-
Visakhapatnam,"3,327 - 10,101 / sqft","7,868.96 / sqft",-
Anand,"2,348 / sqft","2,347.83 / sqft",-
Madurai,"1,167 - 9,000 / sqft","6,333.33 / sqft",-
Patna,"3,774 - 11,000 / sqft","6,59.03 / sqft",-
Trichy,"1,923 - 4,146 / sqft","3,34.51 / sqft",-
Agra,"917 - 7,778 / sqft","4,817.21 / sqft",-
Pondicherry,-,-,-
Shimla,"2,500 - 7,000 / sqft","6,800.44 / sqft",-
Kozhikode,"10,000 / sqft","10,000 / sqft",-
Kanpur,"2,151 - 8,000 / sqft","6,78.06 / sqft",-
Meerut,"1,824 - 6,750 / sqft","4,466.68 / sqft",-
Ranchi,"1,000 - 26,000 / sqft","8,398.62 / sqft",-
Vellore,"2,542 - 3,667 / sqft","3,104.17 / sqft",-
Allahabad,"3,040 - 16,364 / sqft","5,248.16 / sqft",-
Gwalior,"4,211 / sqft","4,210.53 / sqft",-
Haridwar,"2,151 - 8,000 / sqft","4,367.72 / sqft",-
Kannur,"769 - 2,000 / sqft","1,384.62 / sqft",-
Varanasi,"4,418 - 27,143 / sqft","8,789.39 / sqft",-
Vijayawada,"2,592 - 7,477 / sqft","5,974.91 / sqft",-
Aurangabad,"5,750 - 11,806 / sqft","8,10.89 / sqft",-
Guwahati,"3,599 - 9,000 / sqft","6,263.34 / sqft",-
Jabalpur,"1,857 - 2,963 / sqft","2,742.22 / sqft",-
Jodhpur,"6,923 / sqft","6,923.08 / sqft",-
Kolhapur,"5,861 - 6,084 / sqft","6,83.65 / sqft",-
Nainital,"3,271 - 5,548 / sqft","4,284.67 / sqft",-
Amritsar,"1,774 / sqft","1,774.19 / sqft",-
Jamshedpur,"2,303 - 3,793 / sqft","3,48.05 / sqft",-
Kottayam,-,-,-
Ambala,"5,000 - 16,667 / sqft","10,383.38 / sqft",-
Mathura,"2,778 - 93,220 / sqft","14,730.62 / sqft",-
Alwar,"1,681 - 5,128 / sqft","5,128.21 / sqft",-
Jhansi,-,-,-
Faridabad,"714 - 57,778 / sqft","27,971.73 / sqft",-
Anantapuram,"1,577 / sqft","1,577.29 / sqft",-
Sonepat,"1,417 - 4,276 / sqft","4,75.88 / sqft",-
Karnal,"1,212 - 4,000 / sqft","2,867.87 / sqft",-
Siliguri,"3,500 - 5,000 / sqft","4,629.63 / sqft",-
Ooty,-,-,-
Aligarh,-,-,-
Thiruvannamalai,-,-,-
Durgapur,"2,133 / sqft","2,133 / sqft",-
Panipat,"2,830 - 83,333 / sqft","46,786.4 / sqft",-
Raigad,"6,250 - 8,727 / sqft","7,792.87 / sqft",-
Wayanad,-,-,-
Tirunelveli,"22,000 / sqft","22,000 / sqft",-
Ludhiana,"1,846 - 6,424 / sqft","4,9.32 / sqft",-
Ernakulam,-,-,-
Arambagh,"1,067 / sqft","1,66.67 / sqft",-
Salem,"3,333 / sqft","3,333.33 / sqft",-
Dindigul,-,-,-
Warangal,-,-,-
Gulbarga,-,-,-
Tirupati,"3,733 - 14,833 / sqft","7,573.69 / sqft",-
Mehsana,-,-,-
Thrissur,"2,833 - 4,583 / sqft","3,368.45 / sqft",-
Satara,"5,645 / sqft","5,645.16 / sqft",-
Solapur,-,-,-
Guntur,"1,513 - 8,727 / sqft","6,173.32 / sqft",-
Solan,"4,688 - 7,917 / sqft","6,765.63 / sqft",-
Jhajjar,"3,399 - 5,357 / sqft","5,93.35 / sqft",-
Bulandshahr,-,-,-
Ganjam,-,-,-
Bareilly,-,-,-
Moradabad,"4,000 - 8,361 / sqft","4,794.46 / sqft",-
Almora,-,-,-
Ratnagiri,"2,395 / sqft","2,395.21 / sqft",-
Mandya,"2,100 / sqft","2,100 / sqft",-
Hubli Dharwad,"3,853 / sqft","3,853 / sqft",-
Krishna,-,-,-
Valsad,"1,506 - 1,593 / sqft","1,592.92 / sqft",-
Patiala,"3,452 / sqft","3,451.73 / sqft",-
Rohtak,967 / sqft,966.67 / sqft,-
Bhavnagar,-,-,-
Rayagada,-,-,-
Bharuch,-,-,-
Dausa,-,-,-
Rishikesh,-,-,-
Burdwan,-,-,-
Udham Singh Nagar,-,-,-
Shahjahanpur,-,-,-
Muzaffarnagar,-,-,-
Hisar,"40,000 / sqft","40,000 / sqft",-
Sirsa,-,-,-
Chikkamagaluru,-,-,-
Udupi,-,-,-
Fatehabad,-,-,-
Sangli,"3,092 / sqft","3,91.98 / sqft",-
Raigarh,-,-,-
Parbhani,-,-,-
Osmanabad,-,-,-
Nandurbar,-,-,-
Nanded,"6,188 / sqft","6,187.5 / sqft",-
Kurnool,"3,667 / sqft","3,666.67 / sqft",-
Nellore,-,-,-
Nizamabad,-,-,-
Rajahmundry,"4,455 / sqft","4,454.55 / sqft",-
Bhagalpur,-,-,-
Raipur,"1,750 - 5,625 / sqft","4,196.58 / sqft",-
Gandhinagar,"2,151 / sqft","2,150.54 / sqft",-
Jamnagar,"3,661 - 10,526 / sqft","10,526.32 / sqft",-
Porbandar,-,-,-
Rajkot,"1,833 - 8,333 / sqft","6,709.02 / sqft",-
Kurukshetra,-,-,-
Panchkula,"2,142 - 76,316 / sqft","41,399.53 / sqft",-
Dharamsala,-,-,-
Manali,-,-,-
Jammu,"8,636 / sqft","8,636.36 / sqft",-
Srinagar,-,-,-
Bokaro,-,-,-
Dhanbad,"1,857 - 2,394 / sqft","2,125.81 / sqft",-
Bellary,-,-,-
Bidar,-,-,-
Dharwad,-,-,-
Hubli,-,-,-
Alappuzha,-,-,-
Kollam,-,-,-
Palakkad,"2,367 - 3,000 / sqft","3,000 / sqft",-
Ujjain,"2,170 - 3,119 / sqft","2,679.75 / sqft",-
Imphal,-,-,-
Shillong,-,-,-
Cuttack,"5,085 / sqft","5,84.75 / sqft",-
Rourkela,-,-,-
Mohali,"1,067 - 46,844 / sqft","26,821.52 / sqft",-
Pathankot,-,-,-
Ajmer,"1,499 - 20,000 / sqft","8,877.79 / sqft",-
Bhilwara,-,-,-
Kota,"3,059 - 6,296 / sqft","5,697.53 / sqft",-
Udaipur,"3,864 / sqft","3,863.64 / sqft",-
Gangtok,-,-,-
Erode,"6,933 / sqft","6,933.33 / sqft",-
Hosur,"3,428 - 4,333 / sqft","3,880.67 / sqft",-
Agartala,-,-,-
Faizabad,"11,290 / sqft","11,290 / sqft",-
Gorakhpur,"3,571 / sqft","3,571.43 / sqft",-
Roorkee,-,-,-
Rudrapur,-,-,-
Dadra and Nagar Haveli,-,-,-
Daman and Diu,-,-,-
Latur,-,-,-
Jalna,-,-,-
Jalgaon,-,-,-
Hingoli,-,-,-
Gadchiroli,-,-,-
Dhule,-,-,-
Chandrapur,"2,636 / sqft","2,635.66 / sqft",-
Bhandara,-,-,-
Amravati,"2,083 / sqft","2,83.33 / sqft",-
Akola,"2,917 / sqft","2,916.67 / sqft",-
Ahmednagar,"3,636 - 4,127 / sqft","3,951.42 / sqft",-
Sindhudurg,"4,798 - 5,172 / sqft","4,985.33 / sqft",-
Wardha,-,-,-
Washim,-,-,-
Yavatmal,-,-,-
Kodaikanal,-,-,-
Shirdi,-,-,-
Zirakpur,"1,342 - 40,909 / sqft","22,218.02 / sqft",-
Baddi,-,-,-
Neemrana,-,-,-
Rewari,"5,412 - 11,111 / sqft","10,358.52 / sqft",-
Palwal,"1,587 - 9,063 / sqft","7,833.94 / sqft",-
Karur,-,-,-
Baramati,-,-,-
Alibaugh,-,-,-
Saharanpur,-,-,-
Hardoi,-,-,-
Firozabad,-,-,-
Rampur,-,-,-
Etawah,-,-,-
Hapur,-,-,-
Gonda,-,-,-
Basti,-,-,-
Mirzapur,-,-,-
Azamgarh,-,-,-
Barabanki,-,-,-
Bahadurgarh,"3,378 - 4,444 / sqft","4,175.08 / sqft",-
Nalgonda,-,-,-
Hassan,-,-,-
