City,Price range per sqft,Avg price per sqft,Price rise
Ahmedabad,"100 - 65,000 / sqft","60,863.94 / sqft",-36%
Bangalore,"100 - 1,00,000 / sqft","91,774.24 / sqft",207.3%
Chennai,"100 - 85,000 / sqft","79,352.28 / sqft",157.2%
Delhi,"122 - 1,00,000 / sqft","1,00,000 / sqft",18.6%
Ghaziabad,"191 - 50,000 / sqft","49,220.95 / sqft",17.5%
Gurgaon,"100 - 1,00,000 / sqft","1,00,000 / sqft",-13.3%
Hyderabad,"100 - 96,006 / sqft","57,182.69 / sqft",394.6%
Indore,"100 - 70,000 / sqft","55,321.43 / sqft",-
Kolkata,"56 - 86,710 / sqft","35,753.08 / sqft",-77.6%
Mumbai,"100 - 1,00,000 / sqft","77,153.47 / sqft",-63.1%
Noida,"100 - 98,039 / sqft","32,684.47 / sqft",364.5%
Pune,"100 - 20,172 / sqft","18,165.03 / sqft",-79.9%
Jalandhar,"130 - 15,000 / sqft","13,581.28 / sqft",348.6%
Lucknow,"100 - 1,00,000 / sqft","98,419.79 / sqft",-1.2%
Chandigarh,"130 - 50,000 / sqft","46,814.81 / sqft",-5.7%
Nagpur,"100 - 75,000 / sqft","52,119.37 / sqft",-44.8%
Coimbatore,"100 - 75,000 / sqft","65,552.82 / sqft",-87.5%
Goa,"688 - 25,000 / sqft","23,309.18 / sqft",-39.9%
Jaipur,"100 - 63,953 / sqft","61,158.05 / sqft",780.5%
Trivandrum,"152 - 85,000 / sqft","80,686.27 / sqft",-49.1%
Kochi,"119 - 48,209 / sqft","34,759.41 / sqft",198.4%
Bhubaneswar,"100 - 20,370 / sqft","12,977.45 / sqft",131.6%
Puri,"300 - 18,181 / sqft","5,53.5 / sqft",144.3%
Bhopal,"161 - 18,624 / sqft","17,313.32 / sqft",1488.6%
Nashik,"110 - 19,716 / sqft","14,898.96 / sqft",-49.7%
Mysore,"221 - 25,000 / sqft","14,186.85 / sqft",187.3%
Dehradun,"115 - 55,556 / sqft","42,474.42 / sqft",266.1%
Vadodara,"300 - 66,667 / sqft","64,859.52 / sqft",-15.7%
Mangalore,"106 - 13,006 / sqft","8,711.43 / sqft",283%
Surat,"294 - 85,340 / sqft","77,939.44 / sqft",362.1%
Visakhapatnam,"108 - 52,000 / sqft","51,69.86 / sqft",-31.8%
Anand,"550 - 2,913 / sqft","2,125.08 / sqft",-
Madurai,"103 - 17,100 / sqft","16,696.94 / sqft",-11.9%
Patna,"100 - 14,695 / sqft","13,678.27 / sqft",-29.2%
Trichy,"100 - 13,000 / sqft","8,78.8 / sqft",141.5%
Agra,"111 - 39,919 / sqft","38,559.68 / sqft",43.7%
Pondicherry,"121 - 4,500 / sqft","4,207.55 / sqft",30.7%
Shimla,"370 - 2,881 / sqft","2,657.13 / sqft",-49.3%
Kozhikode,"600 - 1,00,000 / sqft","90,772.49 / sqft",2.7%
Kanpur,"100 - 85,200 / sqft","77,619.72 / sqft",-12.2%
Meerut,"217 - 24,260 / sqft","16,556.04 / sqft",224.3%
Ranchi,"195 - 15,000 / sqft","14,517.58 / sqft",378.1%
Vellore,"233 - 3,499 / sqft","3,185.92 / sqft",185.6%
Allahabad,"111 - 22,222 / sqft","11,240.79 / sqft",-69.1%
Gwalior,"138 - 11,111 / sqft","10,540.54 / sqft",278.4%
Haridwar,"100 - 5,098 / sqft","4,558.5 / sqft",120%
Kannur,"182 - 30,000 / sqft","18,52.78 / sqft",177.3%
Varanasi,"121 - 55,556 / sqft","40,589.99 / sqft",174.3%
Vijayawada,"100 - 50,000 / sqft","45,685.7 / sqft",-63.9%
Aurangabad,"100 - 11,419 / sqft","9,712.33 / sqft",511.5%
Guwahati,"150 - 5,333 / sqft","5,229.21 / sqft",-97.5%
Jabalpur,"125 - 5,996 / sqft","5,923.52 / sqft",6599.2%
Jodhpur,"264 - 26,030 / sqft","11,550.91 / sqft",-3.1%
Kolhapur,"300 - 21,333 / sqft","21,333.33 / sqft",-41.3%
Nainital,"100 - 11,628 / sqft","6,662.4 / sqft",244.2%
Amritsar,"136 - 26,000 / sqft","11,944.67 / sqft",72.5%
Jamshedpur,"150 - 3,750 / sqft","2,799.71 / sqft",-55.8%
Kottayam,"149 - 1,492 / sqft","1,246.05 / sqft",250.4%
Ambala,"149 - 22,849 / sqft","18,286.63 / sqft",212.8%
Mathura,"103 - 17,500 / sqft","17,405.02 / sqft",16.1%
