City,Price range per sqft,Avg price per sqft,Price rise
Ahmedabad,"1,250 - 1,00,000 / sqft","72,610.11 / sqft",55.1%
Bangalore,"600 - 65,523 / sqft","32,377.36 / sqft",111.7%
Chennai,"700 - 46,350 / sqft","33,101.48 / sqft",-25.8%
Delhi,"2,667 - 1,94,639 / sqft","1,82,539 / sqft",-35.8%
Ghaziabad,"1,146 - 21,333 / sqft","12,860.79 / sqft",-41%
Gurgaon,"3,414 - 1,64,001 / sqft","71,37.79 / sqft",63%
Hyderabad,"654 - 1,18,492 / sqft","68,830.43 / sqft",-14.6%
Indore,"2,060 - 18,018 / sqft","10,401.17 / sqft",18%
Kolkata,"600 - 33,333 / sqft","11,126.14 / sqft",-43.1%
Mumbai,"1,000 - 1,89,898 / sqft","71,600.47 / sqft",36.1%
Noida,"819 - 37,500 / sqft","15,878.5 / sqft",-58.6%
Pune,"643 - 40,000 / sqft","24,422.08 / sqft",-23.4%
Jalandhar,"2,833 - 10,714 / sqft","7,253.01 / sqft",40.2%
Lucknow,"600 - 36,800 / sqft","23,469.63 / sqft",-28.5%
Chandigarh,"1,555 - 15,000 / sqft","8,316.57 / sqft",-9.3%
Nagpur,"625 - 15,000 / sqft","6,676.71 / sqft",34.1%
Coimbatore,"720 - 9,950 / sqft","8,250.66 / sqft",29.8%
Goa,"2,169 - 22,232 / sqft","18,516.83 / sqft",-16.5%
Jaipur,"1,304 - 38,182 / sqft","17,819.88 / sqft",14.8%
Trivandrum,"3,250 - 6,522 / sqft","5,887.82 / sqft",-20.6%
Kochi,"2,857 - 13,750 / sqft","8,836.15 / sqft",7.5%
Bhubaneswar,"757 - 32,577 / sqft","24,436.46 / sqft",33%
Puri,"2,931 - 24,615 / sqft","8,620.14 / sqft",-
Bhopal,"1,316 - 20,000 / sqft","12,277.96 / sqft",49.5%
Nashik,"1,313 - 12,500 / sqft","6,653.84 / sqft",-14.5%
Mysore,"3,636 - 13,750 / sqft","5,833.87 / sqft",42.3%
Dehradun,"928 - 30,000 / sqft","11,552.49 / sqft",166.6%
Vadodara,"1,897 - 27,500 / sqft","15,364.1 / sqft",-
Mangalore,"875 - 9,265 / sqft","5,338.03 / sqft",29.2%
Surat,"1,333 - 22,453 / sqft","5,790.76 / sqft",8.2%
Visakhapatnam,"729 - 13,500 / sqft","8,386.89 / sqft",46.1%
Anand,"2,890 - 5,217 / sqft","4,61.79 / sqft",23.6%
Madurai,"1,000 - 8,750 / sqft","8,498.97 / sqft",118.6%
Patna,"4,500 - 15,000 / sqft","8,286.29 / sqft",42.4%
