Year,Description,Adilabad,Anantapur,Chittoor,Godavari East,Godavari West,Guntur,Hyderabad,Kadapa,Karimnagar,Khammam,Krishna,Kurnool,Mahabubnagar,Medak,Nalgonda,Nellore, Nizamabad,Prakasam,Rangareddy,Srikakulam,Visakapatnam,Vizianagaram,Warangal
2004-05,GDP (in Rs. Cr.),6527.41,9286.21,9048.39,17289.9,12704.42,11878.6,16932.79,6287.94,9090.45,8194.36,14736.31,7994.95,7107.02,8906.57,7658.54,7612.73,4869.16,8507.54,13310.46,5059.99,19371.01,4988.9,7349.51
2005-06,GDP (in Rs. Cr.),6813.28,9603.8,10086.16,16223.8,12404.23,13742.78,19849.35,6831.37,10918.47,8665.42,15427.16,9783.38,8543.47,10158.74,8665.24,8283.88,5744.88,9495.66,16656.56,5378.08,19575.24,5141.09,8217.91
2006-07,GDP (in Rs. Cr.),7650.79,10080.87,10656.3,18446.62,13069.01,14654.84,23079.49,10844.26,11874.16,9413.7,16772.62,9387.99,8562.31,12597,9357.15,9302.47,6048.56,10543,19180.36,5848.86,22279.55,5499.93,8579.7
2007-08,GDP (in Rs. Cr.),8316.5,12799.58,12095.35,20421.44,15287.66,16133.66,25956.4,11536.84,12610.37,10265.49,18900.74,11251.05,9822.6,12367.64,12109.19,10227.41,6761.78,11027.89,20969.65,6369.69,25519.26,6457.1,9438.14
2008-09,GDP (in Rs. Cr.),9342.33,12759.93,12528.14,21859.9,14501.24,17406.21,28430.61,9062.99,13838.7,11252.57,20754.97,12241,10598.71,14790.43,13982.38,11494.65,8599.06,12361.71,24905.95,6649.93,23532.83,6675.89,10161.06
2009-10,GDP (in Rs. Cr.),9514,13532,12875,22527,15771,19098,29889,9569,13331,11663,22839,12441,11845,15669,13495,11694,7238,12799,24748,7261,27260,7326,10186
2010-11,GDP (in Rs. Cr.),9962,14793,14685,21840,18355,19367,34847,10748,15441,13123,23463,13780,12808,20410,14462,11707,8670,14742,33036,8092,28991,7710,11426
2011-12,GDP (in Rs. Cr.),10567,15799,15423,22984,18931,21126,37346,11492,17389,13567,25205,13786,12783,24101,15443,13900,9115,15616,35406,8661,32201,8339,12002
2012-13,GDP (in Rs. Cr.),11111,16563,16144,24317,20248,22395,39458,12057,18308,14335,26909,14569,13465,24520,16126,14774,9645,16507,36535,9144,33524,8780,12679
2005-06,Growth Rate % (YoY),4.379531851,3.420017424,11.46911218,-6.166027565,-2.362878431,15.69360026,17.2243322,8.642417071,20.10923552,5.748588053,4.688079987,22.36949574,20.21170617,14.0589475,13.14480306,8.816153995,17.98503233,11.61463831,25.13887574,6.28637606,1.054307442,3.05057227,11.8157537
2006-07,Growth Rate % (YoY),12.29231736,4.967512859,5.652696368,13.70098251,5.359300819,6.63664848,16.27327847,58.74209712,8.752966304,8.635242146,8.721371918,-4.041445799,0.220519297,24.00159862,7.984891359,12.29604968,5.28609823,11.0296704,15.15198817,8.753681611,13.81495195,6.979842796,4.402457559
2007-08,Growth Rate % (YoY),8.701192949,26.96900168,13.50421816,10.70559268,16.97641979,10.09100065,12.46522345,6.386604526,6.200101734,9.048408171,12.68805947,19.84514257,14.71904194,-1.820750972,29.41109205,9.942950636,11.79156692,4.599165323,9.328761295,8.90481222,14.54118238,17.40331241,10.00547805
2008-09,Growth Rate % (YoY),12.33487645,-0.30977579,3.578151934,7.043871539,-5.144148941,7.887546905,9.532177035,-21.4430468,9.740634097,9.615517623,9.810356632,8.79873434,7.901268503,19.58975197,15.4691602,12.3906248,27.17154359,12.09497012,18.77141488,4.399586165,-7.784042327,3.388363197,7.65956004
2009-10,Growth Rate % (YoY),1.837550161,6.050738523,2.768647221,3.051706549,8.75621671,9.719462192,5.129647236,5.58325674,-3.668697204,3.647433431,10.04111304,1.633853443,11.75888386,5.940124797,-3.485672682,1.73428508,-15.82800911,3.537455579,-0.634185807,9.189119284,15.83817161,9.738177232,0.245446833
2010-11,Growth Rate % (YoY),4.708850116,9.318652084,14.05825243,-3.049673725,16.3845032,1.408524453,16.58804242,12.32103668,15.82776986,12.51822001,2.732168659,10.76280042,8.130012664,30.25719574,7.165616895,0.11116812,19.78447085,15.18087351,33.48957492,11.44470459,6.349963316,5.241605242,12.17357157
2011-12,Growth Rate % (YoY),6.073077695,6.800513757,5.025536261,5.238095238,3.138109507,9.082459854,7.17134904,6.922218087,12.61576323,3.383372704,7.424455526,0.043541364,-0.195190506,18.08427242,6.78329415,18.73238234,5.132641292,5.928639262,7.173992009,7.031636184,11.07240178,8.158236057,5.041134255
2012-13,Growth Rate % (YoY),5.148102584,4.835749098,4.674836283,5.799686739,6.956843273,6.006816245,5.65522412,4.916463627,5.284950256,5.660794575,6.76056338,5.679675033,5.335210827,1.738517074,4.422715794,6.287769784,5.814591333,5.705686475,3.188725075,5.576723242,4.108568057,5.288403885,5.640726546
