Year,Description, Araria, Arwal, Aurangabad, Banka, Begusarai, Bhabhua, Bhagalpur, Bhojpur, Buxar, Darbhanga,East Champaran, Gaya, Gopalgang, Jamui, Jehanabad, Katihar, Khagaria,Kisangang, Lakhisarai, Madhepura, Madhubani, Munger, Muzaffarpur, Nalanda, Nawada, Patna, Purnia, Jahanabad, Saharsa, Samstipur, Saran, Sekhpura, Sheohar, Sitamarhi, Siwan, Supaul, Vaishali,West Champaran
2004-05,GDP (in Rs. Cr.),1369.8,334.21,1346.64,1042.12,2826.24,905.22,2586.08,1619.35,956.84,2375.23,2702.3,2600.79,1486.46,1076.86,591.88,2012.32,906.99,973.41,609.01,1062.6,2660.89,1406.39,3500.3,1629.36,1049.52,18625.77,1920.84,2207.49,1247.58,2369.58,2142.28,314.78,249.52,1586.09,1737.06,1176.52,2066,2506.85
2005-06,GDP (in Rs. Cr.),1436.277553,366.2419803,1359.055026,1030.737488,2645.533884,957.0298287,2743.76879,1786.839481,1101.794952,2433.822361,2596.596743,2723.828473,1529.971042,1127.744166,634.8271103,1965.255749,942.2348682,993.2756312,646.5262605,1033.583342,2148.16459,1487.31202,3468.132881,1769.335849,1113.72351,17869.95356,1952.53286,2307.754414,1243.879056,2392.043386,2316.545066,359.6300653,245.6388453,1650.643546,1780.065082,1134.505293,2068.568497,2544.60475
2006-07,GDP (in Rs. Cr.),1543.766767,413.5753989,1674.895319,1212.051793,2953.558813,1056.264313,3075.230581,2069.082253,1231.869907,2715.955266,3062.116055,3233.319157,1754.934463,1219.050942,746.5474251,2190.462411,1065.049145,1109.941234,779.1505177,1163.152969,2644.74729,1654.621314,3950.722889,1950.131535,1330.263336,20835.53166,2134.740716,2518.545256,1378.7176,3076.745586,2490.550369,400.4303042,300.1974171,1957.740125,2420.364217,1278.926005,2402.349226,3099.494825
2007-08,GDP (in Rs. Cr.),1697.371703,436.9862934,1778.026591,1251.509,3323.209306,1144.262621,3294.701287,2211.294845,1355.573279,2892.48908,2817.725865,3457.123256,1866.667318,1310.123354,794.2107608,2294.948917,1190.141634,1111.764727,833.3549835,1231.558236,2506.486635,1946.563909,4133.761298,2106.732623,1430.032968,23239.17347,2245.499721,2667.262714,1443.937517,2880.114516,2751.002196,445.3496178,345.1145484,1934.824333,2249.35649,1281.75015,2370.035701,3003.857598
2008-09,GDP (in Rs. Cr.),1819.03826,467.7567073,1822.876972,1343.149064,4017.943944,1244.327438,3627.923904,2518.754376,1424.811042,3226.809942,3773.364632,3628.888107,1933.316595,1370.210481,900.4001473,2483.778661,1258.083158,1207.87842,876.0611489,1142.669937,3041.934586,2094.532177,4869.894233,2308.549885,1554.817037,26409.83459,2456.042017,3017.227139,1530.280995,3273.859438,2879.400349,495.1670197,372.5842394,2272.905353,2658.30427,1328.892778,2917.009319,3287.345183
2009-10,GDP (in Rs. Cr.),1905.592596,495.6194725,1931.652994,1396.557229,3883.659675,1179.118233,3941.960109,2564.783002,1431.087353,3499.827623,3466.493171,3862.587685,2092.028213,1489.100627,908.7517777,2695.954381,1309.302926,1236.542863,952.1142887,1239.927528,3030.708739,2306.010574,5198.731428,2500.325319,1636.777176,29446.41182,2686.51598,3071.887136,1722.145478,3382.930003,3160.673785,487.7330153,341.4837145,2381.643839,2460.984279,1414.347419,3079.93293,3455.504404
2010-11,GDP (in Rs. Cr.),96.80636738,63.17837348,142.6742468,84.89043739,169.8020023,72.44631902,312.0536984,284.3977545,129.5963024,292.1304325,233.8606898,350.9494912,107.877196,90.21457633,99.52477694,160.2101012,67.86164383,59.79092529,53.62168494,71.537835,230.5225392,178.5065469,400.1132661,223.5927076,111.4477494,1554.62744,169.9921501,237.6213911,161.4566258,220.4235772,221.5222091,45.61434901,26.26152655,156.5127825,144.8081279,96.278179,198.8734911,170.7104863
2005-06,Growth Rate % (YoY),4.853084638,9.584387161,0.921926121,-1.092245799,-6.393870156,5.723451612,6.097599064,10.34300681,15.14934069,2.466807875,-3.911603327,4.730811507,2.927158642,4.725235066,7.256050266,-2.338805512,3.885915853,2.040828755,6.160204353,-2.73072254,-19.26894423,5.753881956,-0.918981762,8.590848506,6.11741649,-4.057907078,1.649947955,4.542009866,-0.296649831,0.947990185,8.134560644,14.24806699,-1.555448341,4.069980043,2.47573961,-3.571100077,0.124322197,1.50606339
2006-07,Growth Rate % (YoY),7.483874779,12.92408328,23.23969866,17.59073543,11.64320482,10.3690064,12.08052925,15.79564225,11.80573166,11.59217327,17.92805574,18.70494743,14.70376987,8.096408643,17.59854186,11.45940735,13.03435918,11.74554165,20.51335967,12.53596316,23.11660395,11.24910519,13.91498032,10.21827969,19.44287115,16.59533185,9.331871415,9.134024014,10.84016516,28.62415475,7.511414575,11.34505784,22.21088921,18.60465753,35.97054629,12.7298403,16.1358316,21.80653302
2007-08,Growth Rate % (YoY),9.950009221,5.660610987,6.157475711,3.255406064,12.51542686,8.331087904,7.136723581,6.873220799,10.04191852,6.499879285,-7.981088412,6.921806624,6.366782154,7.470763352,6.384502057,4.770066146,11.7452316,0.164287296,6.956867075,5.881020659,-5.227745431,17.64407314,4.633035865,8.030283363,7.499991087,11.53626343,5.188405507,5.904895223,4.730476878,-6.390878421,10.45760125,11.21776078,14.96253092,-1.170522687,-7.065371622,0.220821583,-1.345080233,-3.085574661
2008-09,Growth Rate % (YoY),7.167938388,7.041505505,2.522480916,7.322365574,20.9055336,8.744917042,10.11389465,13.9040496,5.107637045,11.55824112,33.91524982,4.968432943,3.570495755,4.586371739,13.37042908,8.228058738,5.708692294,8.645146875,5.124606709,-7.217547366,21.36248979,7.601510929,17.80782397,9.579633376,8.725957476,13.64360536,9.376188917,13.12073321,5.979723932,13.67115507,4.667322809,11.18613331,7.959586486,17.47347364,18.18065662,3.67798888,23.07870794,9.437450857
2009-10,Growth Rate % (YoY),4.758247124,5.956678936,5.967271688,3.976339364,-3.342114043,-5.240518146,8.656085773,1.827436061,0.44050128,8.460916079,-8.132568429,6.439977522,8.209292713,8.676779806,0.927546535,8.542456833,4.071254556,2.373123193,8.681259277,8.511433494,-0.369036436,10.09668883,6.752450448,8.307181752,5.271368752,11.49790325,9.383958471,1.811597008,12.53785962,3.3315592,9.768472678,-1.501312514,-8.347246494,4.784118554,-7.422776733,6.430514341,5.585296213,5.115350277
2010-11,Growth Rate % (YoY),-94.91988122,-87.25264503,-92.613878,-93.92144943,-95.62778368,-93.85589019,-92.0837936,-88.91143016,-90.94420742,-91.65300512,-93.25368093,-90.9141353,-94.84341582,-93.94167361,-89.04818902,-94.05738827,-94.81696386,-95.16467022,-94.36814618,-94.23048256,-92.39377456,-92.25907509,-92.30363654,-91.05745537,-93.19102496,-94.72048598,-93.67239386,-92.26464448,-90.62468137,-93.48424067,-92.99129793,-90.64768068,-92.30958156,-93.42837162,-94.11584507,-93.19274899,-93.54292786,-95.05975202
