Year,Description,Alappuzha,Ernakulam,Idukki,Kannur,Kasargode,Kollam,Kottayam,Kozhikode,Malappuram,Palakkad,Pathanamthitta,Thiruvananthapuram,Thrissur,Wayanad
1999-00,GDP (in Rs. Cr.),4533.9,9562.42,2958.33,4920.51,2254.34,5144.42,4430.62,6111.7,5610.17,5232.39,2716.95,7344.3,6664.93,1683.49
2000-01,GDP (in Rs. Cr.),4600.27,9752.23,3268.71,4873.59,2146.18,5290.83,4653.32,5953.96,5451.82,5450.3,2824.31,7432.41,6716.13,1843.89
2001-02,GDP (in Rs. Cr.),4893.73,10409.79,3568.79,5199.95,2345.28,5785.75,4972.13,6476.5,5811.98,5857.01,3092.2,8078.63,7251.98,1565.25
2002-03,GDP (in Rs. Cr.),5247.72,11232.83,3631.02,5585.6,2501.07,6083.15,5498.65,6901.26,6589.3,6224.46,3330.46,8655.26,7714.87,1613.43
2003-04,GDP (in Rs. Cr.),5510.77,12095.66,3365.32,6030.34,2850.65,6378.72,5840.11,7567.29,6910.92,6555.7,3510.18,9166.57,8318.39,1757.71
2004-05,GDP (in Rs. Cr.),5885.6,13180.23,3729.79,6850.22,3106.09,6951.27,6516.02,8151.6,7477.73,7277.28,3807.35,10180.54,9038.15,2267.44
2005-06,GDP (in Rs. Cr.),6398.36,14620.05,4001.75,7541.1,3311.72,7666.65,7250.94,8915.04,8096.83,7731.51,4185.58,11108.78,9893.95,2358.31
2006-07,GDP (in Rs. Cr.),7137.55,16447.18,4336.57,8365.33,3642.54,8477.65,8007.98,9943.08,8930.43,8572.86,4624.27,12427.19,11054.31,2553.93
2000-01,Growth Rate % (YoY),1.463861135,1.984957783,10.49173013,-0.953559692,-4.797856579,2.845996244,5.026384569,-2.58095129,-2.822552614,4.164636046,3.951489722,1.199705894,0.768200116,9.527826123
2001-02,Growth Rate % (YoY),6.379190787,6.74266296,9.180380028,6.696500937,9.276947879,9.354297908,6.851237396,8.776343812,6.606234248,7.462158046,9.485148585,8.694622606,7.978553125,-15.11153051
2002-03,Growth Rate % (YoY),7.233541695,7.906403491,1.743728266,7.416417466,6.642703643,5.140215184,10.58942546,6.558480661,13.37444382,6.273678891,7.705193713,7.137720133,6.38294645,3.07810254
2003-04,Growth Rate % (YoY),5.012653114,7.681323406,-7.317503071,7.962260097,13.97721775,4.858831362,6.209887882,9.650846367,4.880943348,5.32158613,5.396251569,5.907505956,7.822814902,8.942439399
2004-05,Growth Rate % (YoY),6.801771803,8.966604551,10.83017365,13.59591665,8.960763335,8.975938746,11.57358337,7.7215225,8.201657666,11.00691002,8.465947615,11.06160756,8.652635907,28.99966434
2005-06,Growth Rate % (YoY),8.712110915,10.92408858,7.291563332,10.0855155,6.620220277,10.29135683,11.27866397,9.365523333,8.279250521,6.241755161,9.934206206,9.117787465,9.468751902,4.007603288
2006-07,Growth Rate % (YoY),11.55280416,12.49742648,8.366839508,10.92983782,9.989371082,10.57828387,10.44057736,11.53152426,10.29538721,10.8820916,10.48098471,11.86817994,11.72797518,8.294923059
