Year,Description, Ahmednagar, Akola, Amravati, Aurangabad, Beed, Bhandara, Buldhana, Chandrapur, Dhule, Gadchiroli, Gondia, Hingoli, Jalgaon, Jalna, Kolhapur, Latur, Mumbai, Nagpur, Nanded,Nandhurbar, Nashik, Osmanabad, Parbhani, Pune, Raigad, Ratnagiri, Sangli, Satara, Sindhudurg, Solapur, Thane, Wahim, Wardha,Yavatnal
2005-06,GDP (in Rs. Cr.),10847,3698,5739,8877,4568,3040,3863,6576,3597,1657,2803,1786,10380,3091,12592,3977,73600,15598,5019,2991,19427,2855,3103,38148,9144,4826,7624,8630,2489,10856,41916,1690,3224,5270
2006-07,GDP (in Rs. Cr.),12184,4449,6131,9756,5034,3276,4332,6974,4018,1788,2966,1946,11512,3500,14146,4130,83081,17033,5480,3132,21037,3179,3487,42245,10021,5217,8493,9472,2727,12412,46924,1886,3434,5845
2007-08,GDP (in Rs. Cr.),13422,4919,7088,11015,5615,3667,5266,7585,4632,1916,3428,2331,12611,3944,15481,4863,93863,19274,6304,3507,22931,3595,4120,47077,11056,5651,9330,10352,3186,13374,53308,2218,3926,6964
2008-09,GDP (in Rs. Cr.),18225,7030,10567,17985,7419,5056,7651,10768,6528,2894,5055,3038,18310,5759,21914,6515,153339,30582,8973,4040,33365,4641,5878,72466,17217,7958,12852,14232,4436,18205,83706,2745,5992,10151
2009-10,GDP (in Rs. Cr.),17754,7234,11597,20022,7334,4576,7417,11085,7434,2809,4324,2756,19964,5892,22617,7505,153408,33874,9100,3758,32761,4751,5614,76886,17569,9086,13155,14525,4424,19305,89512,3188,5759,9132
2010-11,GDP (in Rs. Cr.),21319,8080,12542,21267,8301,5028,8508,12016,8526,2813,4637,3070,20526,6304,26015,8087,167914,34626,10786,4083,33695,5656,6165,84154,20898,9830,15769,16398,4897,20516,102197,3907,6279,10403
2011-12,GDP (in Rs. Cr.),22045,8443,12465,21778,8369,5236,8962,12859,9103,3261,4907,3159,20338,7986,27092,8761,178304,37161,11098,4639,34478,6051,6262,88627,22855,10470,17129,16754,5819,21866,109624,4806,6668,10414
2012-13,GDP (in Rs. Cr.),22924,9436,13933,22263,8503,5611,9384,14056,9587,3390,5261,3580,21045,6594,28991,9776,191910,39880,12100,4579,38000,5954,6942,93562,24019,10739,18003,17440,6188,22324,116552,4591,7219,11496
2006-07,Growth Rate % (YoY),12.32598875,20.30827474,6.830458268,9.901993917,10.20140105,7.763157895,12.14082319,6.052311436,11.70419794,7.905853953,5.815198002,8.958566629,10.90558767,13.23196377,12.341169,3.847120945,12.88179348,9.199897423,9.185096633,4.714142427,8.287435013,11.34851138,12.37512085,10.73975045,9.590988626,8.101947783,11.39821616,9.756662804,9.562073122,14.33308769,11.94770493,11.59763314,6.513647643,10.91081594
2007-08,Growth Rate % (YoY),10.16086671,10.56417172,15.60919915,12.90487905,11.54151768,11.93528694,21.56048015,8.761112704,15.28123444,7.158836689,15.57653405,19.78417266,9.546560111,12.68571429,9.437296762,17.74818402,12.97769646,13.15681324,15.03649635,11.97318008,9.003184865,13.08587606,18.15314024,11.43804,10.32831055,8.318957255,9.85517485,9.290540541,16.83168317,7.75056397,13.60497826,17.60339343,14.32731508,19.14456801
2008-09,Growth Rate % (YoY),35.78453286,42.91522667,49.08295711,63.27734907,32.12822796,37.87837469,45.29054311,41.96440343,40.93264249,51.04384134,47.46207701,30.33033033,45.19070653,46.01926978,41.55416317,33.97079992,63.36469109,58.66971049,42.33819797,15.19817508,45.50172256,29.09596662,42.66990291,53.93079423,55.72539797,40.82463281,37.74919614,37.48068006,39.2341494,36.1223269,57.02333608,23.76014427,52.6235354,45.76392878
2009-10,Growth Rate % (YoY),-2.58436214,2.901849218,9.747326583,11.32610509,-1.145706969,-9.493670886,-3.058423735,2.943907875,13.87867647,-2.937111265,-14.46092977,-9.282422646,9.033315128,2.30942872,3.207994889,15.19570223,0.044998337,10.76450199,1.415357183,-6.98019802,-1.810280234,2.370178841,-4.491323579,6.099412138,2.04449091,14.17441568,2.357609711,2.058740866,-0.270513977,6.042296073,6.936181397,16.13843352,-3.888518024,-10.03841986
2010-11,Growth Rate % (YoY),20.07998198,11.69477468,8.148659136,6.218160024,13.18516499,9.877622378,14.70945126,8.398737032,14.68926554,0.14239943,7.2386679,11.39332366,2.815067121,6.992532247,15.02409692,7.754830113,9.455830204,2.219991734,18.52747253,8.648217137,2.850950826,19.04862134,9.814748842,9.452956325,18.9481473,8.188421748,19.87077157,12.89500861,10.69168174,6.272986273,14.1712843,22.55332497,9.029345372,13.91809023
2011-12,Growth Rate % (YoY),3.405413012,4.492574257,-0.613937171,2.402783655,0.819178412,4.136833731,5.336154208,7.015645806,6.7675346,15.92605759,5.822730214,2.899022801,-0.915911527,26.68147208,4.139919277,8.334363794,6.187691318,7.3210882,2.892638606,13.61743816,2.323786912,6.983734088,1.573398216,5.315255365,9.364532491,6.510681587,8.624516456,2.170996463,18.82785379,6.580230064,7.267336615,23.00998208,6.195254021,0.105738729
2012-13,Growth Rate % (YoY),3.987298707,11.76122231,11.77697553,2.227018092,1.60114709,7.161955691,4.708770364,9.308655416,5.316928485,3.955841766,7.214183819,13.32700222,3.476251352,-17.43050338,7.009449284,11.58543545,7.630787868,7.316810635,9.028653811,-1.293382194,10.2152097,-1.60304082,10.85915043,5.568280547,5.092977467,2.569245463,5.10245782,4.094544586,6.341295755,2.094576054,6.319783989,-4.473574698,8.263347331,10.3898598
