Year,Description, Angul, Balangir, Balasore, Bargarh, Bhadrak,Baudh, Cuttack, Deogarh, Dhenkanal, Gajapati, Ganjam, Jagatsinghpur, Jajpur, Jharsuguda, Kalahandi, Kandhamal, Kendrapara, Kendujhar, Khordha, Koraput, Malkangiri, Mayurbhanj, Nabarangpur, Nayargarh, Nuapada, Puri, Rayagada, Sambalpur, Subarnapur, Sundargarh
2004-05,GDP (in Rs. Cr.),5690.79,2430.39,3251.17,2045.07,1855.46,642.51,5756.75,477.6,2005.1,934.48,5501.09,2480.82,3350.18,2189.95,2052.29,1755.79,1776.02,4839.35,5467.15,2489.25,808.6,3378.09,1347.89,1142.44,829.21,2403.66,1547.34,2507.28,758.91,6014.81
2005-06,GDP (in Rs. Cr.),5861.93,2581.53,3404.67,2165.61,1924.01,685.28,5863.45,514.38,2157.33,956.15,5806.35,2568.31,3550.05,2386.29,2196.75,1871.11,1885.19,5164.65,5985.56,2673.67,827.01,3544.63,1400.41,1224.48,892.06,2563.96,1682.31,2721.44,814.43,6271.72
2006-07,GDP (in Rs. Cr.),6684.83,2900.84,3898.33,2407.74,2105.8,751.88,6567.83,556.25,2344.58,1050.26,6608.94,2953.63,4122.84,2699.46,2371.26,2110.73,1995.14,5916.85,6850.87,3047.07,889.76,3925.02,1523.54,1327.53,980.1,2594.39,1899.09,3027.76,910.35,7678.16
2007-08,GDP (in Rs. Cr.),7630.67,3215.5,4407.05,2716.69,2298.6,806.21,7303.06,583.92,2606.56,1124.29,7146.79,3351.81,4441.02,2993.71,2603.89,2320.77,2171.52,6642.73,7441.96,3321.98,953.62,4321.61,1639.11,1397.2,1114.02,2792.31,2103.41,3403.93,950.12,9041.56
2008-09,GDP (in Rs. Cr.),8297.99,3408.07,4775.44,2906.12,2515.08,860.46,7790.92,625.45,2784.59,1204.13,7534.48,3735.89,4635.93,3314.58,2859.22,2522.57,2282.37,7132.19,8159.37,3524.23,989.51,4573.74,1726.7,1452.25,1160.03,2993.42,2263.61,3708.4,1022.81,10052.23
2009-10,GDP (in Rs. Cr.),8175.31,3636.66,5078.11,2966.02,2766.51,932.06,8197.42,675.92,2968.36,1260.89,8157.24,3733.7,4724.19,3485.68,3002.86,3018.93,2435.92,7246.78,8508.61,3736.68,1043.52,4819.37,1865.45,1569.83,1224.51,3192.05,2400.93,3773.39,1147.79,10106.47
2010-11,GDP (in Rs. Cr.),8284.72,4243.11,5644.9,3326.67,2910.69,1030.98,8867.2,663.32,3179.12,1354.39,8877.74,4044.86,5147.04,4051.49,3393.23,3208.21,2703.18,7243.22,9406.75,4078.46,1054.85,5358.19,1988.8,1715.97,1307.43,3611.56,2453.56,4032.14,1262.03,10687.26
2005-06,Growth Rate % (YoY),3.007315329,6.218755015,4.721377227,5.894174772,3.694501633,6.656705732,1.853476354,7.701005025,7.592140043,2.318936735,5.549082091,3.526656509,5.965948098,8.965501495,7.038966228,6.567983643,6.146890238,6.721977125,9.482271385,7.408657226,2.276774672,4.930004825,3.896460394,7.181121109,7.579503383,6.668996447,8.722711233,8.541527073,7.315755491,4.271290365
2006-07,Growth Rate % (YoY),14.03803867,12.36902147,14.49949628,11.1806835,9.44849559,9.718655148,12.01306398,8.139896575,8.679710568,9.842597919,13.82262523,15.0028618,16.13470233,13.12371925,7.944008194,12.80630214,5.832303375,14.56439449,14.45662561,13.96582226,7.587574515,10.73144447,8.792425076,8.415817327,9.869291303,1.186835988,12.88585338,11.25580575,11.77756222,22.42510826
2007-08,Growth Rate % (YoY),14.14905091,10.84720288,13.04969051,12.83153497,9.155665305,7.22588711,11.19441277,4.974382022,11.1738563,7.04873079,8.138218837,13.48103859,7.717495707,10.90032821,9.810396161,9.951059586,8.840482372,12.26801423,8.627955282,9.022109764,7.177216328,10.10415234,7.585622957,5.248092322,13.66391185,7.628768227,10.75883713,12.42403625,4.368649421,17.75685841
2008-09,Growth Rate % (YoY),8.745234691,5.98880423,8.359106432,6.972823546,9.417906552,6.729016013,6.6802135,7.112275654,6.830074888,7.101370643,5.424673175,11.45888341,4.388856614,10.71813903,9.805713759,8.695389892,5.104719275,7.368356083,9.640067939,6.088236534,3.763553617,5.834168285,5.343753622,3.940022903,4.130087431,7.202280549,7.616204164,8.944661024,7.650612554,11.17804892
2009-10,Growth Rate % (YoY),-1.478430319,6.707315284,6.338054713,2.061167467,9.996898707,8.321130558,5.217612297,8.069390039,6.5995353,4.713776752,8.265467557,-0.05862057,1.903825122,5.162041646,5.023747735,19.67675823,6.727655902,1.606659385,4.28023242,6.028267168,5.458257117,5.370440821,8.035559159,8.096402135,5.558476936,6.635553982,6.066416035,1.75250782,12.21927826,0.539581764
2010-11,Growth Rate % (YoY),1.338297875,16.6760159,11.16143605,12.15939205,5.211620417,10.61305066,8.170619536,-1.864125932,7.100216955,7.415397061,8.832644375,8.333824357,8.950740762,16.23241376,12.99994006,6.269771078,10.97162468,-0.049125267,10.55566068,9.146622135,1.085748237,11.1802995,6.612345547,9.309288267,6.771688267,13.142338,2.192067241,6.857229176,9.95304019,5.746714728
