Year,Description,Ajmer,Alwar,Banswara,Baran,Barmer,Bharatpur,Bhilwara,Bikaner,Bundi,Chittorgarh,Churu,Dausa,Dholpur,Dungarpur,Ganga Nagar,Hanumangarh,Jaipur,Jaisalmer,Jalore,Jhalawar,Jhunjhunu,Jodhpur,Karauli,Kota,Nagaur,Pali,Rajsamand,Sawai Madhopur,Sikar,Sirohi,Tonk,Udaipur
1999-00,GDP (in Rs. Cr.),3603.13,5328.11,1545.24,1445.68,1838.21,2577.87,4078.49,2916.73,1592.08,2755.2,1707.11,1444.88,932.3,1196.87,3924.02,2577.36,10277.44,693.56,1626.85,1688.1,2239.82,4149.81,1367.76,3010.13,2922,2497.82,1367.03,1477.47,2645.43,1475.22,1831.24,3986.74
2000-01,GDP (in Rs. Cr.),3557.59,5202.12,1426.43,1535.96,2148.01,2761.71,3730.08,2996.26,1424.62,2305.76,1708.74,1464.15,856.36,1134.25,3601.29,2486.45,10003.54,778.41,1599.11,1468.04,2334.51,4203.27,1242.75,2961.98,3181.28,2569.68,1353.55,1379.15,2649.38,1354.99,1506.36,4133.81
2001-02,GDP (in Rs. Cr.),3773.3,5121.21,1612.06,1765.86,2537.06,2732.38,3602.57,3558.81,1633.59,2825.53,2023.56,1653.98,1045.83,1212.21,3581.17,2649.49,11293.67,872.87,2238.86,1660.32,2564.17,4981.49,1401,3131.29,3579.13,2847.45,1593.35,1473.15,2883.1,1861.67,1656.07,4502.62
2002-03,GDP (in Rs. Cr.),3610.96,5036.95,1590.35,1273.1,2089.29,2350.1,3677.47,2483.24,1333.77,2491.63,1690.32,1486.94,1027,1191.41,3312.13,2347.1,10895.72,734.99,1694.58,1398.6,2341.29,4454.96,1315.13,2960.37,3028.29,2536.95,1557.38,1252.27,2689.88,1427.08,1441.8,4251.56
2003-04,GDP (in Rs. Cr.),4025.96,6205.95,1900.79,2112.84,3276.78,3194.5,4830.38,4228.45,1866.58,3110.16,2502.07,1944.27,1226.14,1419.13,4376.5,3475.59,12332.81,992.49,2481.25,2035.22,2904.57,5618.11,1771.38,3766.44,4328.91,3255.49,1680.87,1757.58,3332.6,1717.2,1913.59,4604.31
2004-05,GDP (in Rs. Cr.),4265.05,6301.85,1867.14,2121.35,2544.6,2970.07,4755.83,3542.47,1883.47,3231.05,2220.57,1651.3,1293.26,1447.03,4040.36,3083.35,12900.54,907.73,2116.19,2101.31,2874.42,5508.85,1736.28,3750.79,4118.47,3252.12,1786.77,1743.62,3473.52,1676.91,2029.82,5062.07
2005-06,GDP (in Rs. Cr.),4457.76,6626.71,2046.93,2239.38,2676.42,3166.55,4838.41,3421.41,2044.13,3503.71,2320.39,1790.42,1331.17,1553.95,4576.9,3546.45,14255.17,1349.1,2164.36,2055,3038.95,5843.87,1800.12,4009.05,4369.16,3307.69,2070.76,1853.71,3721.04,1900.02,2104.95,5137.09
2000-01,Growth Rate % (YoY),-1.263901108,-2.364628358,-7.688773265,6.24481213,16.8533519,7.131469003,-8.542622392,2.726683649,-10.51831566,-16.31242741,0.095483009,1.333674769,-8.145446745,-5.231980081,-8.224473881,-3.527252693,-2.66506056,12.2339812,-1.705135692,-13.03595759,4.227571858,1.288251751,-9.139761362,-1.599598688,8.873374401,2.876908664,-0.986079311,-6.654619045,0.1493141,-8.149970852,-17.74098425,3.688978965
2001-02,Growth Rate % (YoY),6.063374363,-1.555327443,13.0136074,14.9678377,18.11211307,-1.062023167,-3.418425342,18.77507292,14.668473,22.54224204,18.42410197,12.96520165,22.12504087,6.873264272,-0.558688692,6.557139697,12.89673456,12.13499313,40.00662869,13.09773576,9.837610462,18.51463266,12.73385637,5.716108819,12.50597244,10.80951714,17.71637546,6.815792336,8.821686583,37.3936339,9.938527311,8.921793696
2002-03,Growth Rate % (YoY),-4.302334826,-1.645314291,-1.346724067,-27.90481692,-17.64916872,-13.99073335,2.07907133,-30.222743,-18.35344242,-11.81725198,-16.46800688,-10.09927569,-1.800483826,-1.715874312,-7.512628554,-11.41313989,-3.523655287,-15.79616667,-24.31058664,-15.76322637,-8.692091398,-10.56972914,-6.129193433,-5.458453225,-15.39033229,-10.90449349,-2.257507767,-14.99372094,-6.70181402,-23.34409428,-12.93846275,-5.575864719
2003-04,Growth Rate % (YoY),11.49278862,23.20848926,19.5202314,65.9602545,56.83701162,35.93038594,31.35062964,70.27955413,39.94766714,24.8243118,48.02345118,30.75645285,19.39045764,19.11348738,32.135514,48.08018406,13.18949092,35.03449027,46.42271241,45.51837552,24.05853184,26.10910087,34.69238782,27.22869101,42.94899101,28.32298626,7.929342871,40.35152164,23.89400271,20.32962413,32.72229158,8.29695453
2004-05,Growth Rate % (YoY),5.938707786,1.545291212,-1.770316553,0.402775411,-22.34449673,-7.0255126,-1.543356837,-16.22296586,0.90486344,3.886938293,-11.25068443,-15.06838042,5.474089419,1.965993249,-7.680566663,-11.2855659,4.60341155,-8.540136425,-14.71274559,3.247314787,-1.038019397,-1.944782142,-1.981505945,-0.41551173,-4.861269927,-0.103517443,6.300308769,-0.794273945,4.228530277,-2.346261356,6.073923881,9.941989136
2005-06,Growth Rate % (YoY),4.518352657,5.154994168,9.629165462,5.563909774,5.180381985,6.615332299,1.736395119,-3.417389562,8.530000478,8.438742824,4.495242213,8.424877369,2.931351778,7.388927666,13.27950975,15.01937827,10.50056819,48.62348936,2.276260638,-2.203863304,5.723937351,6.081487062,3.676826318,6.885482792,6.08696919,1.708731535,15.89404344,6.31387573,7.125912619,13.30482852,3.701313417,1.482002422
