Year,Description,East,North,South,West
1999-00,GDP (in Rs. Cr.),458.22,61.56,207.05,168.98
2000-01,GDP (in Rs. Cr.),470.61,63.54,252.83,176.9
2001-02,GDP (in Rs. Cr.),512.23,67.43,272.83,187.8
2002-03,GDP (in Rs. Cr.),561.3,70.41,286.49,198.09
2003-04,GDP (in Rs. Cr.),607.36,75.83,308.22,212.42
2004-05,GDP (in Rs. Cr.),659.11,81.37,330.64,226.32
2005-06,GDP (in Rs. Cr.),723.45,88.43,355.11,246.24
2006-07,GDP (in Rs. Cr.),785.6,95.05,379.88,265.04
2000-01,Growth Rate % (YoY),2.703941338,3.216374269,22.1106013,4.686945201
2001-02,Growth Rate % (YoY),8.843840972,6.122127794,7.910453665,6.161673262
2002-03,Growth Rate % (YoY),9.579681003,4.419397894,5.006780779,5.479233227
2003-04,Growth Rate % (YoY),8.205950472,7.697770203,7.584906978,7.234085517
2004-05,Growth Rate % (YoY),8.520482086,7.30581564,7.274025047,6.543639959
2005-06,Growth Rate % (YoY),9.761648283,8.67641637,7.400798451,8.801696713
2006-07,Growth Rate % (YoY),8.590780289,7.486147235,6.975303427,7.63482781
