Year,Description, Agra, Aligarh, Allahabad, Ambedkar Nagar, Amethi, Amorha,Auraiyya,Azamgarh,Badaun,Bagpat,Bahraich,Ballia,Balrampur,Banda,Barabanki,Bareilly,Basti,Bijnor,BulandShahar,Chandauli,Chitrakoot,Deoria,Etah,Etawa,Faizabad,Farrukhabad,Fatehpur,Firozabad,Gautambudh Nagar,Ghaziabad,Ghazipur,Gonda,Gorakhpur,Hamirpur,Hardoi,Hathras,Jalaun,Jaunpur,Jhansi,Kannauj,Kanpur: Rural,Kanpur: Urban,Kanshiram Nagar,Kaushambi,Kheri,Kushi Nagar,Lalitpur,Lucknow,Maharajganj,Mahoba,Mainpuri,Mathura,Mau,Meerut,Mirzapur,Moradabad,Muzaffarnagar,Pilibhit,Pratapgarh,Rae Bareli,Rampur,Saharanpur,Sant Kabeer Nagar,Sant Ravidas Nagar,Shahjahanpur,Shravasti,Siddharth Nagar,Sitapur,Sonbhadra,Sultanpur,Unnao,Varanasi
2004-05,GDP (in Rs. Cr.),"7,101.89","5,434.82","7,847.18","1,906.25",NA,"3,596.34","1,473.03","3,417.70","4,263.14","2,907.27","2,590.73","2,359.45","1,978.89","1,891.85","4,795.01","6,136.90","2,086.17","6,668.45","6,879.96","2,075.06",749.71,"2,418.19","4,067.12","1,996.44","2,310.48","2,345.23","2,660.54","3,048.03","7,353.30","8,927.14","2,942.22","2,793.29","4,636.91","1,547.84","3,725.40","2,598.40","2,595.81","3,398.03","3,758.01","1,866.20","1,888.86","9,867.24",0,"1,665.68","4,943.91","2,747.22","1,516.66","11,022.71","2,121.30","1,329.19","2,142.18","4,053.88","2,181.34","7,176.06","2,273.74","6,458.19","7,249.90","3,240.67","2,380.61","3,242.59","3,031.40","6,314.72","1,326.62","1,622.83","3,708.07","1,278.24","1,655.23","4,843.20","3,920.12","4,123.21","3,813.71","4,365.39"
2005-06,GDP (in Rs. Cr.),"7,770.26","5,840.61","8,471.30","2,171.11",NA,"3,667.68","1,632.60","3,992.32","5,120.55","2,855.07","2,774.10","2,719.46","1,992.72","1,987.92","4,622.29","6,511.27","2,215.82","6,901.40","6,628.83","2,255.85",795.06,"2,419.45","4,427.70","1,936.16","2,599.77","2,502.01","2,833.40","3,354.09","7,527.62","9,768.43","3,332.25","3,110.61","4,872.70","1,641.75","4,057.76","2,656.39","2,567.56","3,727.20","3,840.71","2,028.03","2,324.64","10,435.47",0,"1,870.72","5,094.12","2,827.31","1,527.18","10,940.02","2,027.91","1,254.11","2,347.33","4,620.37","2,712.97","8,159.89","2,486.63","6,809.54","7,772.79","3,534.47","2,542.54","3,374.52","3,108.43","6,906.34","1,363.05","1,703.34","3,787.72","1,110.52","2,044.46","4,949.76","4,571.91","3,957.90","4,078.94","4,575.57"
2006-07,GDP (in Rs. Cr.),"8,441.22","6,382.80","8,776.01","2,341.90",NA,"3,623.49","1,734.42","4,278.19","5,195.83","3,067.56","2,924.87","2,909.24","2,223.19","2,102.93","4,710.74","6,816.16","2,361.44","7,166.34","7,434.11","2,460.32",758.16,"2,587.97","4,588.65","2,105.16","2,682.82","2,555.31","2,957.77","3,692.81","11,730.19","11,607.27","3,577.38","3,185.40","5,348.51","1,639.91","4,332.87","2,930.90","2,809.57","3,902.77","4,102.22","2,333.16","2,464.55","11,223.67",0,"1,864.96","5,362.44","3,042.64","1,750.47","12,030.36","2,322.24","1,361.62","2,527.17","5,314.62","2,355.19","8,573.92","2,773.13","7,598.33","8,052.60","3,661.70","2,620.63","3,543.05","3,337.29","6,851.28","1,267.81","2,140.95","4,113.89","1,316.56","2,101.83","5,627.05","4,459.49","4,013.56","4,285.90","5,132.50"
2007-08,GDP (in Rs. Cr.),"9,143.43","6,679.98","9,942.38","2,589.13",NA,"3,904.71","2,142.50","4,264.95","5,996.27","3,287.82","3,003.90","3,244.73","2,185.79","2,094.77","4,929.10","7,578.43","2,501.26","8,477.40","7,872.47","2,661.70",789.94,"2,859.00","5,028.99","2,266.24","3,091.21","2,733.23","3,303.88","3,945.38","12,628.99","12,478.57","3,818.66","3,336.22","5,759.51","1,614.64","4,571.40","3,233.09","2,620.64","4,264.79","4,515.24","2,392.19","2,681.73","12,057.71",0,"1,992.39","5,391.24","3,274.32","1,570.71","12,840.35","2,399.11","1,238.51","2,567.77","5,878.89","2,608.93","9,174.14","2,961.16","8,150.95","8,387.25","4,185.30","2,842.52","3,838.39","4,024.69","7,339.26","1,397.01","2,339.56","4,936.29",977.03,"2,221.83","6,057.86","4,642.95","4,500.63","4,608.56","4,798.89"
2008-09,GDP (in Rs. Cr.),"9,684.15","7,230.24","10,481.56","2,864.45",NA,"4,268.96","2,371.08","4,730.12","6,414.26","3,472.15","3,168.77","3,517.27","2,263.37","2,445.88","4,671.32","7,950.44","2,535.29","8,479.08","8,333.73","2,884.58","1,020.94","2,991.92","3,251.19","2,416.26","3,529.43","2,887.08","3,586.40","4,233.16","13,111.40","13,128.39","4,020.92","3,456.78","6,193.67","1,925.74","4,770.48","3,322.93","3,153.75","4,584.46","5,066.15","2,575.05","2,882.61","13,232.20","2,343.93","2,098.09","5,447.86","3,459.26","2,081.76","13,775.24","2,542.21","1,711.31","2,878.75","6,210.71","2,776.07","9,385.94","3,192.59","9,052.98","8,531.06","3,794.89","3,283.40","4,028.71","3,865.72","7,500.83","1,584.23","2,494.63","4,464.59","1,124.80","2,340.45","6,091.28","4,989.13","4,830.92","4,874.87","5,207.78"
2009-10,GDP (in Rs. Cr.),"11,234.70","7,593.92","10,790.97","2,926.78",NA,"4,308.30","2,270.85","5,270.39","6,597.43","3,842.62","3,353.63","3,557.83","2,296.96","2,528.93","5,223.77","8,520.60","2,711.57","9,071.25","8,873.95","2,805.92","1,082.51","3,041.17","3,101.52","2,473.22","3,691.55","3,204.80","3,669.88","4,501.77","14,155.71","13,647.59","4,256.16","3,799.13","6,681.29","2,119.38","5,074.00","3,680.90","3,349.25","4,766.72","5,668.68","2,751.00","2,973.19","14,894.42","2,585.31","2,334.97","5,976.18","3,477.69","2,248.70","15,135.06","2,709.47","1,849.80","3,054.92","5,675.41","3,336.33","10,125.46","3,332.33","10,224.96","9,940.31","4,059.31","3,377.65","4,329.42","4,271.97","8,633.31","1,690.15","2,386.29","4,780.94","1,130.61","2,387.39","6,538.64","5,104.03","4,931.65","5,167.21","6,399.89"
2010-11,GDP (in Rs. Cr.),"12,187.12","8,596.72","12,650.46","3,236.10","2,910.09","4,101.77","2,442.36","6,162.94","6,311.94","4,411.91","3,456.30","4,247.48","2,356.37","2,927.16","5,545.19","8,854.48","2,860.15","9,063.89","9,665.14","3,104.72","1,180.31","3,576.14","3,367.58","2,684.17","4,314.09","3,557.79","4,291.54","4,764.20","13,833.78","13,963.09","4,928.67","4,469.69","7,477.98","2,290.39","5,502.42","4,302.12","3,555.65","5,301.29","6,036.94","3,017.07","3,244.10","16,343.96","2,780.87","2,799.20","6,226.24","3,767.86","2,495.34","16,511.48","3,075.05","2,075.71","3,211.81","6,285.51","3,690.14","10,916.35","3,647.50","10,234.18","10,508.46","4,423.56","4,059.13","3,496.22","4,357.43","9,833.27","1,893.82","2,644.79","5,241.29","1,454.36","2,946.21","7,216.01","5,110.97","3,767.84","5,838.82","6,894.57"
2011-12,GDP (in Rs. Cr.),"13,058.94","9,089.34","12,755.14","3,272.78","3,026.51","5,597.33","3,126.83","5,379.55","7,076.29","4,253.67","3,630.16","4,602.92","3,132.64","3,169.17","4,918.11","11,135.14","3,181.55","9,192.19","10,288.18","3,539.14","2,935.48","3,883.06","3,595.60","3,027.12","4,373.02","3,364.40","4,597.96","4,861.69","17,223.71","15,310.88","4,917.59","4,732.39","7,702.55","2,358.66","6,164.59","4,197.41","3,672.49","5,461.07","6,690.54","2,987.53","3,407.64","16,776.56","3,286.17","3,012.44","7,532.84","4,215.04","2,462.83","17,885.49","3,164.64","2,394.30","3,400.52","7,264.50","3,623.52","11,918.76","3,954.20","10,396.03","10,982.67","4,424.77","3,774.04","3,595.04","4,512.60","8,893.05","2,102.46","3,230.77","6,095.47","1,380.81","2,915.20","7,181.39","5,666.16","4,157.88","6,245.40","7,450.18"
2005-06,Growth Rate % (YoY),9.411156748,7.466484631,7.953430404,13.89429508,NA,1.983683411,10.83277326,16.81306142,20.11217084,-1.79549887,7.077927843,15.25821696,0.698876643,5.078098158,-3.602077994,6.100311232,6.214738013,3.493315538,-3.650166571,8.712519156,6.049005616,0.052105087,8.865733,-3.019374487,12.5207749,6.685058608,6.497177265,10.04123975,2.370636313,9.423958849,13.25631666,11.36008076,5.085067426,6.067164565,8.921458098,2.231758005,-1.088292286,9.687083398,2.200632782,8.671632194,23.07105873,5.758753208,NA,12.30968733,3.038283464,2.915310751,0.693629423,-0.750178495,-4.40248904,-5.648552878,9.576692902,13.97401995,24.37171647,13.70989094,9.362987853,5.440378806,7.212375343,9.06602647,6.802038133,4.068661163,2.541070133,9.368903134,2.746076495,4.961086497,2.148017702,-13.1211666,23.51516104,2.200198216,16.62678694,-4.009254925,6.954645214,4.814690096
2006-07,Growth Rate % (YoY),8.634974891,9.283105703,3.596968588,7.866483043,NA,-1.204848842,6.236677692,7.160498156,1.470154573,7.44254957,5.434915829,6.978591338,11.56559878,5.785444082,1.913553671,4.682496656,6.571833452,3.838931231,12.14814681,9.063989184,-4.641159158,6.965219368,3.635070127,8.72861747,3.194513361,2.130287249,4.389426131,10.0987153,55.82866829,18.82431465,7.356290795,2.404351558,9.764812116,-0.112075529,6.779848981,10.33394946,9.425680413,4.710506546,6.808897313,15.04563542,6.018566316,7.553085774,NA,-0.30790284,5.267249299,7.616073229,14.62106628,9.966526569,14.51395772,8.572613248,7.661470692,15.02585291,-13.18776101,5.073965458,11.52161761,11.58360183,3.599865685,3.599691043,3.071338111,4.994191767,7.362559234,-0.797238479,-6.987271193,25.69128888,8.611248984,18.55347045,2.806119953,13.68328969,-2.458928544,1.406301321,5.07386723,12.17181684
