Year,Description,Almora,Bageshwar,Chamoli,Champawat,Dehradin,Garhwal,Hardwar,Nainital,Pithoragarh,Rudraprayag,Tehri Garhwal,Udham Singh Nagar,Uttarkashi
1999-00,GDP (in Rs. Cr.),712.7,250.85,467.77,270.59,2208.44,818.39,2775.55,1308.7,595.09,233.59,695.92,1938.26,345.05
2000-01,GDP (in Rs. Cr.),788,275.73,509.65,292.36,2423.88,918.45,3289.44,1433.44,644.5,258.68,780.11,2157.53,369.23
2001-02,GDP (in Rs. Cr.),839.38,292.09,573.08,307.59,2658.68,983.18,3321.92,1520.77,690.79,277.09,856.6,2210.62,390.8
2002-03,GDP (in Rs. Cr.),894.03,303.34,629.52,329.27,2880.12,1211.15,3800.42,1594.17,738.09,300.24,956.68,2349.22,417.31
2003-04,GDP (in Rs. Cr.),960.21,327.26,669.12,399.52,3155.94,1188.26,4211.85,1729.21,787.95,318.71,1019.73,2423.29,461.98
2004-05,GDP (in Rs. Cr.),1253.38,347.27,813.87,428.94,3498.27,1307.84,4618.92,2004.76,872.51,350.09,1291.89,2655.05,504.21
2005-06,GDP (in Rs. Cr.),1299.98,364.25,851.05,449.59,3712.64,1378.8,4878.91,2142.86,913.69,366.08,1387.26,2784.06,546.52
2006-07,GDP (in Rs. Cr.),1423.92,400.09,934.97,477.57,4116.87,1514.83,5365.18,2335.48,1008.31,407.39,1467.76,3134.93,562.36
2000-01,Growth Rate % (YoY),10.56545531,9.918277855,8.953117985,8.045382313,9.755302385,12.2264446,18.51488894,9.531596241,8.302945773,10.741042,12.0976549,11.31272378,7.007680046
2001-02,Growth Rate % (YoY),6.520304569,5.933340587,12.44579613,5.209330962,9.686948199,7.047743481,0.987402111,6.092337314,7.18231187,7.116901191,9.805027496,2.460684208,5.841887171
2002-03,Growth Rate % (YoY),6.51075794,3.851552604,9.848537726,7.048343574,8.328945191,23.18700543,14.40432039,4.826502364,6.847232878,8.354686203,11.68339949,6.269734283,6.783520983
2003-04,Growth Rate % (YoY),7.40243616,7.885540977,6.290507053,21.33507456,9.576684305,-1.889939314,10.82590872,8.470865717,6.755273747,6.15174527,6.590500481,3.152961408,10.7042726
2004-05,Growth Rate % (YoY),30.53186282,6.114404449,21.63289096,7.363836604,10.84716439,10.06345413,9.664874105,15.93502235,10.73164541,9.845941451,26.68941779,9.5638574,9.141088359
2005-06,Growth Rate % (YoY),3.717946672,4.889567196,4.568297148,4.814193127,6.127886069,5.425740152,5.628805002,6.88860512,4.719716679,4.567396955,7.382207463,4.859042203,8.391344876
2006-07,Growth Rate % (YoY),9.533992831,9.839396019,9.860760237,6.22344803,10.88793958,9.865825355,9.966775366,8.988921348,10.35580996,11.28441871,5.80280553,12.60281747,2.898338579
