Year,Description,24-Parganas (North),24-Parganas (South),Bankura,Birbhum,Burdwan,Cooch Behar,Dakshin Dinajpur,Darjeeling,Hooghly,Howrah,Jalpaiguri,Kolkata,Malda,Midnapore East,Midnapore West,Murshidabad,Nadia,Purulia,Uttar Dinajpur
2004-05,GDP (in Rs. Cr.),24416.69,16884.94,6625.78,5924.68,22357.47,5066.53,3048.61,4960.24,13613,11614.02,7948.42,19725.04,7162.25,16728.73,10889.9,12332.96,10628.3,4833.75,3895.05
2005-06,GDP (in Rs. Cr.),27157.76,17443.65,7253.88,6436.33,22946.58,5357.48,3208.83,5408.76,14673.07,12286.07,8174.99,21809.83,7405.23,16672.62,11506.06,13377.28,11332.29,5051.76,4286.99
2006-07,GDP (in Rs. Cr.),29049.04,19623.98,7677.04,7044.16,25482.48,5439.69,3301.6,5809.29,14965.27,13591.92,9029.66,23642.98,7876.82,18089.79,12359.28,14250.25,11907.09,5508.84,4427.94
2007-08,GDP (in Rs. Cr.),32131.75,21026.4,8279.19,7475.61,26731.47,5921.95,3543.92,6168.89,16604.91,14575.03,9616.55,25456.57,8463.37,19169.64,13502.63,15418.77,12902.15,5832.06,4811.32
2008-09,GDP (in Rs. Cr.),34747.1,21652.35,8501.46,7735.64,27463.67,6086.57,3667.88,6963.2,17488.49,15255.97,10147.32,27157.46,8834.46,20441.05,13638.37,15673.97,13582.01,6107.54,5103.75
2009-10,GDP (in Rs. Cr.),37881.68,22973.33,9341.94,8002.42,30170.39,6583.28,3909.82,7988.11,19851.66,16631.22,10661.34,27783.18,9428.68,22632.04,15132.63,16776.12,14399.6,6409.73,5390.12
2010-11,GDP (in Rs. Cr.),41354.78,25106.17,9155.56,8286.98,31807.93,6875.54,4239.69,8567.33,21536.11,18339.89,11502.27,30001.96,10158.94,24689.79,15979.36,17802.04,15424.25,6392.12,5844.96
2005-06,Growth Rate % (YoY),11.22621453,3.308924995,9.479638624,8.63590945,2.634958249,5.742589109,5.255509888,9.042304405,7.787188717,5.78654075,2.850503622,10.56925613,3.392509337,-0.335410997,5.658086851,8.46771578,6.623730982,4.510162917,10.06251524
2006-07,Growth Rate % (YoY),6.964050054,12.49927624,5.833567691,9.443735794,11.05132007,1.534490096,2.891084913,7.405209327,1.991403299,10.62870389,10.45469169,8.405154923,6.368336973,8.499983806,7.415396756,6.525766075,5.07223165,9.047935769,3.287854649
2007-08,Growth Rate % (YoY),10.61208907,7.146460606,7.843517814,6.124931858,4.901367528,8.865578737,7.339471771,6.190085191,10.95630082,7.233047281,6.499580272,7.670733554,7.446532992,5.969389363,9.250943421,8.199996491,8.356869731,5.867296926,8.658202234
2008-09,Growth Rate % (YoY),8.139457079,2.976971807,2.684682922,3.478378353,2.73909366,2.779827591,3.497821621,12.87606036,5.321197164,4.671962939,5.519339056,6.681536436,4.384660011,6.632414589,1.005285637,1.655125539,5.269354332,4.723545368,6.077957816
2009-10,Growth Rate % (YoY),9.021126943,6.100862031,9.886301882,3.448712712,9.855638376,8.160753922,6.5961809,14.71895106,13.51271608,9.01450383,5.065573964,2.304044635,6.726160965,10.71857855,10.95629463,7.031722021,6.019653939,4.947818598,5.610972324
2010-11,Growth Rate % (YoY),9.168283983,9.283982775,-1.995088815,3.555924333,5.427639484,4.43942837,8.436961292,7.251026839,8.485184614,10.27387047,7.887657649,7.986054872,7.745092632,9.092198494,5.595392209,6.115359213,7.115822662,-0.274738562,8.438402113
