area_name,price,dimensions,dis_mainroad,khata,amenities,type
Shivoham Shiva Temple,24947,708,581,A-Khata,6,R
Bangalore Palace,17773,18593,65,B-Khata,14,C
Bangalore Palace,16814,2017,2824,B-Khata,23,C
Lalbagh Botanical Garden,17389,12128,1938,B-Khata,28,C
National Gallery of Modern Art,17448,19073,1240,BDA,5,R
Wonderla Amusement Park,17037,12433,926,B-Khata,10,C
Art of Living International Center,19720,3425,1450,A-Khata,2,R
Visvesvaraya Industrial and Technological Museum,20122,255,2561,A-Khata,29,R
Ranga Shankara,19731,6358,1286,Panchayat,4,R
Bangalore Palace,15086,4504,1512,BDA,16,C
Sri Chamarajendra Park,19581,7308,1987,A-Khata,21,C
Wonderla Amusement Park,14896,17590,2680,BDA,26,R
UB City,12224,13552,1619,Panchayat,23,C
St. Mary's Basilica,20726,8557,155,BDA,1,C
Snow City,20182,19537,2638,B-Khata,23,R
Shivoham Shiva Temple,8346,5967,621,Panchayat,30,R
Innovative Film City,21850,10085,1467,BDA,29,C
Ulsoor Lake,24154,13992,1466,BDA,5,R
MG Road,15063,2064,305,BDA,10,C
Visvesvaraya Industrial and Technological Museum,9727,17297,850,B-Khata,19,R
Kempegowda Museum,11636,16422,2041,B-Khata,17,R
Jawaharlal Nehru Planetarium,23239,17004,1287,Panchayat,25,C
Freedom Park,8185,5683,990,BDA,19,C
Bannerghatta National Park,18741,13226,2458,Panchayat,22,R
Lumbini Gardens,8579,3186,995,BDA,5,C
Innovative Film City,17629,3583,1961,Panchayat,23,R
National Gallery of Modern Art,9466,15686,346,Panchayat,19,R
Jawaharlal Nehru Planetarium,23191,14939,1169,A-Khata,22,R
MG Road,19476,4781,2827,BDA,8,R
Bannerghatta National Park,24591,7756,143,A-Khata,14,R
Ulsoor Lake,17564,14027,1541,BDA,13,R
UB City,11809,1351,1320,B-Khata,30,R
Bannerghatta National Park,23309,3144,973,B-Khata,11,C
Commercial Street,12973,1021,2451,B-Khata,11,C
Visvesvaraya Industrial and Technological Museum,22541,3160,2305,B-Khata,23,R
Bannerghatta National Park,11001,10370,31,B-Khata,19,C
HAL Aerospace Museum,15768,11520,1927,B-Khata,5,C
Visvesvaraya Industrial and Technological Museum,8237,493,558,A-Khata,2,C
Ranga Shankara,8912,11672,2392,A-Khata,6,C
Shivoham Shiva Temple,22672,8135,283,A-Khata,24,R
Cubbon Park,18512,2532,2079,Panchayat,5,C
Jawaharlal Nehru Stadium,4461,19488,819,B-Khata,9,R
Ulsoor Lake,16810,10252,2922,Panchayat,9,R
Commercial Street,16446,19261,6,BDA,22,R
Jawaharlal Nehru Stadium,12122,12843,1386,A-Khata,3,C
Wonderla Amusement Park,22974,12289,1043,Panchayat,2,R
Lumbini Gardens,3801,2162,2915,Panchayat,1,C
Kempegowda Museum,17393,12479,2272,Panchayat,4,C
Ranga Shankara,13893,2532,173,A-Khata,20,R
Jawaharlal Nehru Planetarium,17189,11731,1115,A-Khata,7,C
Lalbagh Botanical Garden,23920,18756,1026,BDA,13,C
MG Road,21286,6673,1124,A-Khata,9,R
Jawaharlal Nehru Planetarium,16990,639,1423,A-Khata,5,R
Commercial Street,20554,5370,1863,B-Khata,5,R
Shivoham Shiva Temple,23020,4629,402,A-Khata,23,R
Bangalore Palace,4104,1874,1323,B-Khata,19,C
Indira Gandhi Musical Fountain Park,5276,1467,2742,A-Khata,2,R
Wonderla Amusement Park,21628,11640,585,B-Khata,21,R
Kempegowda Museum,10162,5283,584,B-Khata,11,C
Bangalore Palace,13967,7345,2313,A-Khata,26,R
HAL Aerospace Museum,12899,8747,33,BDA,7,C
Wonderla Amusement Park,16656,18348,2209,BDA,19,R
Lalbagh Botanical Garden,12085,7536,2373,Panchayat,26,C
St. Mary's Basilica,15803,17498,887,BDA,20,R
Wonderla Amusement Park,22045,4446,1945,Panchayat,21,C
Bull Temple,8408,11758,1604,B-Khata,19,R
Ranga Shankara,18640,356,570,A-Khata,0,C
Shivoham Shiva Temple,19741,11499,1259,BDA,15,C
National Gallery of Modern Art,5946,5419,486,BDA,26,R
Ulsoor Lake,24480,1156,577,A-Khata,11,C
Nandi Hills,8425,17438,1624,Panchayat,3,C
Jawaharlal Nehru Stadium,23429,19271,815,A-Khata,7,R
Visvesvaraya Industrial and Technological Museum,18139,1684,1817,BDA,9,C
Jawaharlal Nehru Planetarium,19796,17273,2316,B-Khata,6,R
Jawaharlal Nehru Planetarium,24548,16715,2211,BDA,6,R
Bull Temple,21077,4296,2750,BDA,19,R
Ulsoor Lake,22159,1907,1036,A-Khata,30,R
Ranga Shankara,10884,457,193,Panchayat,3,C
Kempegowda Museum,6105,13697,2606,Panchayat,3,C
Bull Temple,14248,6120,964,B-Khata,6,C
National Gallery of Modern Art,20114,3588,2561,Panchayat,24,C
Indira Gandhi Musical Fountain Park,13870,10002,116,B-Khata,25,R
Jawaharlal Nehru Stadium,11165,10966,1357,A-Khata,11,R
Bannerghatta National Park,3462,1317,271,B-Khata,21,R
Lumbini Gardens,17508,18252,1483,Panchayat,12,C
Bannerghatta National Park,16539,3969,315,A-Khata,20,R
St. Mary's Basilica,3898,12549,2959,B-Khata,26,C
ISKCON Temple,16769,418,1242,Panchayat,27,C
Art of Living International Center,4775,6220,2518,B-Khata,3,C
Bangalore Palace,5425,11594,1875,A-Khata,7,C
Indira Gandhi Musical Fountain Park,17767,7002,1976,BDA,26,R
HAL Aerospace Museum,14470,14598,1822,Panchayat,22,R
Ulsoor Lake,21829,19410,1599,Panchayat,0,R
MG Road,3656,1937,1911,BDA,1,C
Visvesvaraya Industrial and Technological Museum,14089,16117,556,BDA,23,R
Bangalore Palace,21490,14697,1226,BDA,21,R
Lalbagh Botanical Garden,23326,7242,2282,BDA,25,R
Ranga Shankara,12754,9365,1307,A-Khata,7,R
National Gallery of Modern Art,19736,7996,10,BDA,10,R
Bull Temple,20091,17488,1413,A-Khata,16,R
HAL Aerospace Museum,17581,8569,38,BDA,4,R
Sankey Tank,16650,15048,2810,BDA,7,R
Sri Chamarajendra Park,19862,2871,1177,BDA,30,C
Art of Living International Center,21509,10045,2531,A-Khata,24,R
Visvesvaraya Industrial and Technological Museum,24420,14508,1948,Panchayat,6,C
Indira Gandhi Musical Fountain Park,14061,19606,2030,Panchayat,12,C
Sankey Tank,23551,16425,471,A-Khata,24,R
Jawaharlal Nehru Planetarium,7201,9592,1427,Panchayat,26,C
Lalbagh Botanical Garden,15082,5879,1687,A-Khata,22,C
St. Mary's Basilica,16715,16651,1890,BDA,2,R
MG Road,18696,12522,1562,B-Khata,12,C
Visvesvaraya Industrial and Technological Museum,24387,4817,2029,BDA,11,R
Jawaharlal Nehru Stadium,9169,18856,2708,BDA,10,C
Jawaharlal Nehru Stadium,9637,6513,1037,A-Khata,11,C
Kempegowda Museum,15016,3356,59,A-Khata,1,R
Bull Temple,16801,12722,85,BDA,7,R
Wonderla Amusement Park,4198,800,945,BDA,28,C
ISKCON Temple,24602,19518,1385,A-Khata,30,R
Ranga Shankara,16875,18923,2316,Panchayat,11,R
Sankey Tank,14480,2448,2550,B-Khata,13,R
Cubbon Park,8176,14947,2563,A-Khata,6,C
St. Mary's Basilica,15983,17102,637,B-Khata,4,R
Sankey Tank,10636,18544,881,Panchayat,13,R
National Gallery of Modern Art,4020,12764,1089,BDA,10,C
Bannerghatta National Park,8527,12573,1638,A-Khata,9,R
Bangalore Fort,20955,18090,3,Panchayat,22,C
Shivoham Shiva Temple,5987,5676,1449,A-Khata,12,R
Freedom Park,3630,18300,2638,BDA,23,C
Lumbini Gardens,8779,7286,601,B-Khata,9,C
St. Mary's Basilica,22993,5220,739,BDA,20,R
Snow City,10227,15558,1891,A-Khata,12,R
Lumbini Gardens,22329,18735,854,B-Khata,21,C
Lalbagh Botanical Garden,10543,3467,2644,B-Khata,6,C
Shivoham Shiva Temple,15022,227,978,BDA,19,C
Sankey Tank,9650,6499,1713,Panchayat,7,C
Kempegowda Museum,19538,12126,407,B-Khata,3,R
Ulsoor Lake,4173,984,754,B-Khata,0,R
Shivoham Shiva Temple,16019,8508,2052,BDA,5,C
Kempegowda Museum,19706,14753,2454,BDA,7,R
Shivoham Shiva Temple,24167,18541,393,A-Khata,1,C
Jawaharlal Nehru Stadium,7630,12618,729,Panchayat,16,C
