Year,Population,% Increase in Population,Population Density,% Increase in Population Density,Urban Population,Urban Population % of Total Population,% Increase in Urban Population,Rural Population,Rural Population % of Total Population,% Increase in Rural Population,Life Expectancy,% Increase in Life Expectancy,Birth Rate,% Change in Birth Rate,Death Rate,% Change in Death Rate,Infant Mortality Rate,% Change in Infant Mortality Rate,Fertility Rate,% Change in Fertility Rate,Net Migration Rate,% Change in Net Migration Rate
1950,"35,70,21,100",0.00%,108.61,0.00%,Null,Null,Null,Null,Null,Null,35.21,0.00%,44.175,0.00%,28.161,0.00%,189.629,0.00%,5.907,0.00%,-0.043,0.00%
1951,"36,49,22,360",2.21%,111.01,2.21%,Null,Null,Null,Null,Null,Null,35.8,1.68%,43.97,-0.46%,27.584,-2.05%,186.737,-1.53%,5.906,-0.02%,-0.047,9.30%
1952,"37,29,97,188",2.21%,113.47,2.21%,Null,Null,Null,Null,Null,Null,36.39,1.65%,43.764,-0.47%,27.008,-2.09%,183.846,-1.55%,5.904,-0.03%,-0.05,6.38%
1953,"38,12,27,705",2.21%,115.97,2.21%,Null,Null,Null,Null,Null,Null,36.98,1.62%,43.558,-0.47%,26.432,-2.13%,180.954,-1.57%,5.903,-0.02%,-0.054,8.00%
1954,"38,97,31,406",2.23%,118.56,2.23%,Null,Null,Null,Null,Null,Null,37.57,1.60%,43.352,-0.47%,25.856,-2.18%,178.062,-1.60%,5.902,-0.02%,-0.058,7.41%
1955,"39,85,77,992",2.27%,121.25,2.27%,Null,Null,Null,Null,Null,Null,38.16,1.57%,43.146,-0.48%,25.28,-2.23%,175.171,-1.62%,5.9,-0.03%,-0.061,5.17%
1956,"40,76,56,597",2.28%,124.01,2.28%,Null,Null,Null,Null,Null,Null,38.75,1.55%,42.941,-0.48%,24.703,-2.28%,172.279,-1.65%,5.899,-0.02%,-0.065,6.56%
1957,"41,69,35,399",2.28%,126.83,2.28%,Null,Null,Null,Null,Null,Null,39.34,1.52%,42.735,-0.48%,24.127,-2.33%,169.388,-1.68%,5.897,-0.03%,-0.068,4.62%
1958,"42,62,95,763",2.25%,129.68,2.25%,Null,Null,Null,Null,Null,Null,39.93,1.50%,42.529,-0.48%,23.551,-2.39%,166.496,-1.71%,5.896,-0.02%,-0.072,5.88%
1959,"43,59,00,352",2.25%,132.6,2.25%,Null,Null,Null,Null,Null,Null,40.53,1.51%,42.298,-0.54%,23.016,-2.27%,164.119,-1.43%,5.895,-0.02%,-0.065,-9.72%
1960,"44,59,54,579",2.31%,135.66,2.31%,"8,07,56,165",17.92,0.00%,"36,97,91,510",82.08,0.00%,41.13,1.49%,42.066,-0.55%,22.481,-2.32%,161.742,-1.45%,5.894,-0.02%,-0.058,-10.77%
1961,"45,63,51,876",2.33%,138.82,2.33%,"8,28,82,675",18.03,2.60%,"37,67,59,491",81.97,1.87%,41.74,1.46%,41.835,-0.55%,21.946,-2.38%,159.366,-1.47%,5.892,-0.03%,-0.05,-13.79%
1962,"46,70,24,193",2.34%,142.07,2.34%,"8,54,56,483",18.22,3.06%,"38,36,20,708",81.78,1.80%,42.34,1.44%,41.603,-0.55%,21.411,-2.44%,156.989,-1.49%,5.891,-0.02%,-0.043,-14.00%
1963,"47,79,33,619",2.34%,145.39,2.34%,"8,81,27,852",18.41,3.08%,"39,06,97,750",81.6,1.83%,42.94,1.42%,41.372,-0.56%,20.876,-2.50%,154.612,-1.51%,5.89,-0.02%,-0.036,-16.28%
1964,"48,90,59,309",2.33%,148.77,2.33%,"9,09,01,311",18.6,3.10%,"39,79,46,828",81.41,1.84%,43.57,1.47%,41.051,-0.78%,20.374,-2.40%,152.851,-1.14%,5.857,-0.56%,-0.055,52.78%
1965,"50,01,14,346",2.26%,152.14,2.26%,"9,37,60,317",18.79,3.10%,"40,53,63,011",81.22,1.85%,44.2,1.45%,40.731,-0.78%,19.873,-2.46%,151.091,-1.15%,5.823,-0.58%,-0.074,34.55%
1966,"51,09,92,617",2.18%,155.45,2.18%,"9,67,12,771",18.98,3.10%,"41,29,18,738",81.02,1.85%,44.84,1.43%,40.41,-0.79%,19.371,-2.53%,149.33,-1.17%,5.79,-0.57%,-0.092,24.32%
1967,"52,19,87,069",2.15%,158.79,2.15%,"9,97,65,995",19.17,3.11%,"42,06,34,582",80.83,1.85%,45.47,1.41%,40.09,-0.79%,18.87,-2.59%,147.57,-1.18%,5.756,-0.59%,-0.111,20.65%
