Crop,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Bajra,Summer     ,Karnataka,820.0,662,1266.7,78039.4,254.2,0.81
Black pepper,Kharif     ,Karnataka,3825.0,924,1266.7,364025.25,1185.75,0.4375
Cardamom,Whole Year ,Karnataka,21230.0,1214,1266.7,2020459.1,6581.3,0.058571429
Coriander,Whole Year ,Karnataka,17317.0,2853,1266.7,1648058.89,5368.27,0.121333333
Dry chillies,Rabi       ,Karnataka,4565.0,7895,1266.7,434451.05,1415.15,1.869444444
Garlic,Whole Year ,Karnataka,5061.0,3799,1266.7,481655.37,1568.91,1.585
Ginger,Kharif     ,Karnataka,3619.0,4745,1266.7,344420.23,1121.89,1.262307692
Jowar,Summer     ,Karnataka,6137.0,15135,1266.7,584058.29,1902.47,2.470909091
Maize,Summer     ,Karnataka,9730.0,20893,1266.7,926004.1,3016.3,2.165714286
Ragi,Rabi       ,Karnataka,27104.0,33696,1266.7,2579487.68,8402.24,1.312222222
Ragi,Summer     ,Karnataka,13521.0,25035,1266.7,1286793.57,4191.51,1.847777778
Turmeric,Whole Year ,Karnataka,4342.0,24108,1266.7,413228.14,1346.02,4.452941176
Arecanut,Kharif     ,Puducherry,66.0,23,1434.5875,6520.8,19.14,0.35
Bajra,Kharif     ,Puducherry,149.0,324,1434.5875,14721.2,43.21,2.17
Black pepper,Kharif     ,Puducherry,12.0,7,1434.5875,1185.6,3.48,0.58
Coriander,Kharif     ,Puducherry,2.0,1,1434.5875,197.6,0.58,0.5
Cotton(lint),Summer     ,Puducherry,453.0,372,1434.5875,44756.4,131.37,0.84
Dry chillies,Kharif     ,Puducherry,8.0,23,1434.5875,790.4,2.32,2.75
Groundnut,Rabi       ,Puducherry,1046.0,2062,1434.5875,103344.8,303.34,1.54
Ragi,Kharif     ,Puducherry,112.0,366,1434.5875,11065.6,32.48,3.27
Rice,Kharif     ,Puducherry,4945.0,11518,1434.5875,488566.0,1434.05,2.46
Rice,Rabi       ,Puducherry,13961.0,30220,1434.5875,1379346.8,4048.69,2.555
Rice,Summer     ,Puducherry,5716.0,14863,1434.5875,564740.8,1657.64,2.55
Sesamum,Kharif     ,Puducherry,147.0,120,1434.5875,14523.6,42.63,0.806666667
Small millets,Kharif     ,Puducherry,4.0,3,1434.5875,395.2,1.16,0.75
Bajra,Rabi       ,Karnataka,451.0,536,1260.8,44558.8,130.79,1.19
Bajra,Summer     ,Karnataka,846.0,498,1260.8,83584.8,245.34,0.59
Black pepper,Whole Year ,Karnataka,4387.0,10342,1260.8,433435.6,1272.23,2.238
Cardamom,Whole Year ,Karnataka,20218.0,1153,1260.8,1997538.4,5863.22,0.06
Castor seed,Kharif     ,Karnataka,27246.0,23245,1260.8,2691904.8,7901.34,0.831818182
Coriander,Whole Year ,Karnataka,17935.0,2982,1260.8,1771978.0,5201.15,0.118
Garlic,Whole Year ,Karnataka,3574.0,3034,1260.8,353111.2,1036.46,1.459411765
Jowar,Summer     ,Karnataka,8897.0,23144,1260.8,879023.6,2580.13,2.461333333
Linseed,Rabi       ,Karnataka,19806.0,6441,1260.8,1956832.8,5743.74,0.315
Maize,Summer     ,Karnataka,11974.0,27080,1260.8,1183031.2,3472.46,2.241904762
Moong(Green Gram),Rabi       ,Karnataka,15627.0,7005,1260.8,1543947.6,4531.83,0.438823529
Niger seed,Kharif     ,Karnataka,41853.0,8104,1260.8,4135076.4,12137.37,0.214782609
Ragi,Rabi       ,Karnataka,33833.0,45301,1260.8,3342700.4,9811.57,1.361
Ragi,Summer     ,Karnataka,10673.0,24008,1260.8,1054492.4,3095.17,2.239230769
